Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,5,5,61,24694,4312604672,0,7,0,650.416794523877,2007055094,303711,0,0,28672,7,135559,1124385
2,Yes,4,8,58,24373,4312604672,0,6,0,655.0508608249539,1994826868,298875,0,0,28672,7,85203,1113806
3,Yes,4,4,101,25182,4312604672,0,6,0,719.7525322106601,2265028747,221134,0,0,28672,7,112396,1118161
4,Yes,5,4,74,26299,4312604672,0,7,0,654.2550900171135,2150242263,267201,0,0,28672,7,162050,1127473
5,Yes,4,4,89,24206,4312604672,0,6,0,623.2369057102719,1885234789,338778,0,0,28672,7,113308,1111633
6,Yes,4,6,74,23280,4312604672,0,6,0,678.8923842914841,1974855259,293414,0,0,28672,7,83754,1108451
7,Yes,4,4,74,23034,4312604672,0,6,0,648.781977247069,1867468707,323050,0,0,28672,7,68129,1085162
8,No,4,4,83,24399,4312604672,0,6,0,724.5128486985038,2209098958,206659,0,0,28672,7,77705,1086250
9,Yes,4,4,76,23480,4312604672,0,6,0,676.5635610836599,1985163360,310340,0,0,28672,7,56352,1113122
10,No,4,3,61,24865,4312604672,0,6,0,736.3516727535998,2288184501,179774,0,0,28672,7,78176,1085779
