Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,3,2,23,13288,2165121024,0,5,0,867.801514376035,1440988981,10924,0,0,28672,7,40604,555260
2,No,3,3,41,13906,2165121024,0,5,0,846.4804983097173,1470864912,11110,0,0,28672,7,34281,559734
3,Yes,3,3,46,13633,2165121024,0,5,0,856.9944193690388,1459891858,11128,0,0,28672,7,40287,558187
4,Yes,3,3,51,13718,2165121024,0,5,0,853.3480592052498,1462746195,12112,0,0,28672,7,35919,558763
5,Yes,3,3,52,13749,2165121024,0,5,0,819.7267795722391,1408283155,11571,0,0,28672,7,41397,557288
6,Yes,3,3,50,13734,2165121024,0,5,0,842.4246816692157,1445704279,12000,0,0,28672,7,36351,552729
7,No,3,3,69,14641,2165121024,0,5,0,802.4095778111764,1467996541,12232,0,0,28672,7,52958,561743
8,Yes,3,4,53,13453,2165121024,0,5,0,866.3347555952115,1456204632,11815,0,0,28672,7,35517,556455
9,No,3,3,99,14155,2165121024,0,5,0,826.6099903900509,1462060689,11728,0,0,28672,7,40979,562175
10,Yes,3,4,54,13781,2165121024,0,5,0,852.8868531610655,1468565388,12031,0,0,28672,7,61897,561423
