Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,1,4,26,7669,2165121024,0,3,0,253.93464213959555,243088797,328956,0,0,32768,8,426,528672
2,Yes,2,4,9,7474,2165121024,0,4,0,246.4092829986613,229872310,338814,0,0,32768,8,6558,529220
3,Yes,1,3,30,7230,2165121024,0,3,0,255.22531396153312,230351836,337787,0,0,32768,8,743,528699
4,Yes,1,4,14,7583,2165121024,0,3,0,243.99286132735187,230940405,337999,0,0,32768,8,586,528679
5,Yes,1,3,19,8103,2165121024,0,3,0,228.03273283950617,230670810,337571,0,0,32768,8,954,528680
6,Yes,1,3,13,7375,2165121024,0,3,0,250.29995225176344,230439074,337694,0,0,32768,8,490,528678
7,Yes,1,3,28,8198,2165121024,0,3,0,224.76270799267846,230028967,337882,0,0,32768,8,478,528677
8,Yes,1,3,22,7435,2165121024,0,3,0,249.03132508073196,231137769,336908,0,0,32768,8,933,528682
9,Yes,1,3,13,7464,2165121024,0,3,0,248.08938319260153,231162029,336728,0,0,32768,8,506,528674
10,Yes,1,3,30,7671,2165121024,0,3,0,241.09142097026606,230873795,336960,0,0,32768,8,406,528685
