Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,3,4,78,33784,4312604672,0,5,0,842.9651218472469,3559207843,264629,0,0,3549892608,866673,36298,1131302
2,Yes,4,4,79,37283,4312604672,0,6,0,833.5722775825532,3884130207,209049,0,0,3874680832,945967,145428,1155016
3,Yes,4,3,58,32454,4312604672,0,6,0,820.922862407938,3329758566,324048,0,0,3320356864,810634,37836,1134682
4,Yes,4,3,83,34577,4312604672,0,6,0,842.6122080175854,3641346900,249758,0,0,3632005120,886720,77974,1136478
5,Yes,3,3,95,33421,4312604672,0,5,0,831.6416111077862,3473762536,290162,0,0,3464384512,845797,49284,1135959
6,Yes,4,3,74,34819,4312604672,0,6,0,847.9006587775735,3689851257,247843,0,0,3680432128,898543,63004,1146386
7,Yes,4,3,44,33956,4312604672,0,6,0,809.3693083969016,3434852106,305620,0,0,3425411072,836282,106362,1141902
8,No,4,3,53,35074,4312604672,0,6,0,849.1717818140344,3722450535,249345,0,0,3712954368,906483,52362,1155828
9,No,5,3,33,35527,4312604672,0,7,0,816.7626044364374,3626621909,265735,0,0,3617165312,883097,164577,1148832
10,No,4,3,66,35291,4312604672,0,6,0,826.1872480163229,3644099541,256471,0,0,3634692096,887376,104547,1143847
