Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,7,34,40309,12902539264,0,4,0,262.7355936678081,1323383879,2850873,0,0,1295196160,316210,8339,3167083
2,Yes,2,7,79,38956,12902539264,0,4,0,260.2849163778274,1267017293,2865671,0,0,1238806528,302443,6266,3168114
3,Yes,2,7,32,38918,12902539264,0,4,0,260.297468582149,1265841992,2864586,0,0,1237643264,302159,6573,3166745
4,Yes,2,8,27,37784,12902539264,0,4,0,266.27729457856844,1257149027,2864965,0,0,1228963840,300040,5547,3165005
5,Yes,2,7,39,38665,12902539264,0,4,0,262.7680873299187,1269548732,2862854,0,0,1241358336,303066,7466,3165920
6,No,2,7,41,39426,12902539264,0,4,0,257.56303346102135,1268897294,2864800,0,0,1240690688,302903,9009,3167703
7,Yes,2,9,22,39060,12902539264,0,4,0,259.6280627896853,1267129577,2863099,0,0,1238941696,302476,6563,3165575
8,No,2,6,37,39479,12902539264,0,4,0,256.3861075671978,1264828745,2864635,0,0,1236631552,301912,8295,3166547
9,Yes,3,7,29,40165,12902539264,0,5,0,255.02190328203596,1279933815,2863980,0,0,1251713024,305594,13550,3169574
10,No,2,7,67,39506,12902539264,0,4,0,260.5267375882934,1286105843,2860293,0,0,1257906176,307106,5898,3167399
