Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,1,4,21,26206,8607571968,0,3,0,282.22552904358446,924146832,1880514,0,0,905453568,221058,750,2101572
2,Yes,1,4,21,25509,8607571968,0,3,0,286.6782425406783,913753740,1883054,0,0,895057920,218520,856,2101574
3,Yes,1,5,37,26148,8607571968,0,3,0,281.5705423249053,919925004,1881558,0,0,901230592,220027,1007,2101585
4,No,1,5,57,26242,8607571968,0,3,0,281.2430915119869,922159542,1881320,0,0,903462912,220572,2333,2101892
5,Yes,1,4,60,25924,8607571968,0,3,0,284.42307160493823,921318420,1881798,0,0,902619136,220366,3324,2102164
6,Yes,1,5,15,25880,8607571968,0,3,0,288.42817885990337,932672559,1878425,0,0,913981440,223140,387,2101565
7,Yes,2,6,14,26003,8607571968,0,4,0,289.8989104896719,941850389,1877199,0,0,923152384,225379,4753,2102578
8,Yes,2,4,8,26451,8607571968,0,4,0,285.231561084433,942727529,1877075,0,0,924028928,225593,5581,2102668
9,No,1,5,14,26256,8607571968,0,3,0,285.6746909451069,937193457,1877323,0,0,918503424,224244,354,2101567
10,Yes,1,4,33,26184,8607571968,0,3,0,286.4833680672269,937304490,1877348,0,0,918614016,224271,1718,2101619
