Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,3,2,140,20977,2165121024,0,5,0,878.3451137067938,2302698711,12940,0,0,2298093568,561058,51924,573998
2,Yes,4,2,445,20451,2165121024,0,6,0,902.1139498263974,2305703610,12572,0,0,2301095936,561791,71838,574363
3,Yes,3,3,416,20009,2165121024,0,5,0,907.260455863241,2268619201,11587,0,0,2264092672,552757,58610,564344
4,No,3,2,66,20347,2165121024,0,5,0,902.9806985500123,2296180405,11903,0,0,2291597312,559472,70316,571375
5,Yes,3,2,60,20005,2165121024,0,5,0,916.6762385642154,2291821966,12360,0,0,2287243264,558409,46335,570769
6,No,3,2,63,20366,2165121024,0,5,0,914.6679010017679,2328074758,13056,0,0,2323419136,567241,64003,580297
7,Yes,3,2,683,20516,2165121024,0,5,0,897.2810763381106,2300640616,12266,0,0,2296045568,560558,55511,572824
8,Yes,2,2,60,19309,2165121024,0,4,0,917.9841939193038,2215227746,12220,0,0,2210799616,539746,29783,551966
9,No,3,2,96,20549,2165121024,0,5,0,900.0149008614396,2311363387,11701,0,0,2306752512,563172,53691,574873
10,Yes,2,3,67,18745,2165121024,0,4,0,934.1814316508377,2188341191,12081,0,0,2183966720,533195,19400,545276
