Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,1,2,102,8553,1091379200,0,3,0,920.6920706350134,983892405,30015,0,0,981704704,239674,892,269689
2,No,3,2,16,8223,1091379200,0,5,0,899.1039416129425,923729304,45685,0,0,921518080,224980,7185,270665
3,Yes,1,2,114,8311,1091379200,0,3,0,887.916172824648,921999603,45021,0,0,919797760,224560,1072,269581
4,No,1,2,94,8228,1091379200,0,3,0,902.6299119863846,927917031,43593,0,0,925716480,226005,1016,269598
5,Yes,2,1,41,8429,1091379200,0,4,0,901.9873943996204,950031362,41988,0,0,947802112,231397,8655,273385
6,Yes,2,1,20,8296,1091379200,0,4,0,903.7835418927065,936898202,43316,0,0,934682624,228194,2957,271510
7,Yes,1,2,124,8225,1091379200,0,3,0,902.4580323482913,927401718,44248,0,0,925196288,225878,977,270126
8,Yes,2,2,21,8323,1091379200,0,4,0,904.1078033890158,940172771,42357,0,0,937959424,228994,4169,271351
9,Yes,2,1,23,8283,1091379200,0,4,0,901.919028254045,933499316,43230,0,0,931291136,227366,6788,270596
10,No,1,2,89,8242,1091379200,0,3,0,907.2993300970875,934305978,41660,0,0,932110336,227566,1052,269226
