Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,1,5,13,23848,8607571968,0,3,0,321.4400600595563,957799587,1872301,0,0,939114496,229276,346,2101577
2,Yes,1,5,40,23790,8607571968,0,3,0,307.5771762034896,914253060,1883358,0,0,895553536,218641,2054,2101999
3,No,1,6,13,23823,8607571968,0,3,0,306.539559474325,912394254,1883392,0,0,893698048,218188,350,2101580
4,Yes,1,5,48,24348,8607571968,0,3,0,300.5986387873311,914471751,1883033,0,0,895774720,218695,3145,2101728
5,Yes,1,4,22,24119,8607571968,0,3,0,303.16310379431894,913634949,1883079,0,0,894939136,218491,1018,2101570
6,No,1,4,22,23870,8607571968,0,3,0,307.01789457806086,915698802,1882572,0,0,897003520,218995,662,2101567
7,Yes,2,5,10,24086,8607571968,0,4,0,304.5811821768199,916615073,1882691,0,0,897916928,219218,6542,2101909
8,Yes,1,4,20,23170,8607571968,0,3,0,317.4899449192783,919159176,1881738,0,0,900464640,219840,926,2101578
9,Yes,1,5,37,23412,8607571968,0,3,0,315.04700371683685,921575820,1881214,0,0,902881280,220430,2415,2101644
10,Yes,1,5,14,24218,8607571968,0,3,0,303.711155825383,919007445,1881751,0,0,900313088,219803,356,2101554
