Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,2,1,435,10205,1091379200,0,4,0,868.6658776950215,1107770969,9875,0,0,1105522688,269903,20851,279778
2,Yes,2,2,56,10022,1091379200,0,4,0,885.4391249500999,1108800146,11140,0,0,1106538496,270151,20537,281291
3,Yes,2,2,75,9952,1091379200,0,4,0,898.5252414070352,1117328411,11157,0,0,1115049984,272229,22435,283386
4,No,3,2,370,10312,1091379200,0,5,0,891.4950564500484,1148701870,10976,0,0,1146363904,279874,27268,290850
5,No,2,1,465,10397,1091379200,0,4,0,856.6497152751058,1113003947,10829,0,0,1110736896,271176,20773,282005
6,Yes,2,1,508,9993,1091379200,0,4,0,870.5793354683747,1087141232,11362,0,0,1084919808,264873,12827,276235
7,Yes,2,2,561,10855,1091379200,0,4,0,813.5401640099511,1103456567,11577,0,0,1101201408,268848,24211,280425
8,Yes,2,2,518,10759,1091379200,0,4,0,820.933769638375,1103635712,10962,0,0,1101385728,268893,21010,279855
9,Yes,2,2,536,9977,1091379200,0,4,0,889.0584725814537,1108332425,9331,0,0,1106087936,270041,22816,279372
10,Yes,2,1,624,10038,1091379200,0,4,0,879.4000055793564,1103104874,11260,0,0,1100853248,268763,18870,280023
