Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,3,32,11426,2165121024,0,4,0,711.4962444191543,1015715342,287256,0,0,1011154944,246864,3589,534120
2,No,2,3,43,11100,2165121024,0,4,0,700.8746897359647,971988446,300616,0,0,967393280,236180,8557,536796
3,Yes,1,2,99,10904,2165121024,0,3,0,701.393711245643,955611948,299534,0,0,951058432,232192,1805,531726
4,Yes,1,3,103,11121,2165121024,0,3,0,689.1242381723331,957498078,299344,0,0,952942592,232652,1214,531996
5,Yes,2,2,30,11451,2165121024,0,4,0,675.9694219582497,967184381,301263,0,0,962592768,235008,11329,536271
6,No,2,2,33,11110,2165121024,0,4,0,692.8680079222182,961834871,300129,0,0,957263872,233707,2366,533836
7,No,1,4,111,11061,2165121024,0,3,0,693.6585214796057,958510452,299198,0,0,953954304,232899,806,532097
8,Yes,2,2,23,11484,2165121024,0,4,0,679.4151673924404,974918261,296007,0,0,970358784,236904,4219,532911
9,Yes,2,3,14,11176,2165121024,0,4,0,689.3921546585519,962609960,299610,0,0,958042112,233897,3616,533507
10,Yes,2,3,18,10882,2165121024,0,4,0,715.556540123173,972855092,299782,0,0,968265728,236393,12351,536175
