Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,1,2,17,9945,2165121024,0,3,0,660.738082268933,821002512,329370,0,0,816443392,199327,737,528697
2,Yes,1,2,17,9725,2165121024,0,3,0,644.0301495423224,782525811,338757,0,0,777957376,189931,678,528688
3,Yes,2,2,9,10091,2165121024,0,4,0,623.7460735454456,786409409,338435,0,0,781836288,190878,6166,529313
4,Yes,1,2,14,10108,2165121024,0,3,0,622.4297819117356,786072090,337892,0,0,781504512,190797,449,528689
5,No,1,2,40,10037,2165121024,0,3,0,625.5669365221725,784483194,338276,0,0,779915264,190409,777,528685
6,Yes,1,2,16,9754,2165121024,0,3,0,645.9143535684988,787157265,337627,0,0,782589952,191062,677,528689
7,Yes,1,2,15,9758,2165121024,0,3,0,646.6771201312014,788410416,337330,0,0,783843328,191368,446,528698
8,Yes,2,2,10,10078,2165121024,0,4,0,629.8922826518459,793136972,337190,0,0,788561920,192520,6178,529710
9,No,1,2,17,9943,2165121024,0,3,0,635.5718394527713,789565125,337039,0,0,784998400,191650,769,528689
10,Yes,1,2,15,9772,2165121024,0,3,0,648.0740691914023,791248125,336623,0,0,786681856,192061,419,528684
