Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,3,169,28898,4312604672,0,6,0,930.5511862952068,3360822156,356470,0,0,3351068672,818132,0,1174602
2,Yes,8,3,172,33212,4312604672,0,10,0,930.4475259116505,3862191472,371061,0,0,3851329536,940266,0,1311327
3,No,2,3,158,31756,4312604672,0,4,0,938.7464408402356,3725789609,188979,0,0,3716829184,907429,0,1096408
4,Yes,6,2,168,38748,4312604672,0,8,0,933.3882423992153,4520420143,215161,0,0,4509675520,1100995,0,1316156
5,No,6,4,171,32151,4312604672,0,8,0,932.3173449466514,3746188249,304995,0,0,3736145920,912145,0,1217140
6,No,5,3,158,32177,4312604672,0,7,0,930.9384181015727,3743789147,309293,0,0,3733712896,911551,0,1220844
7,Yes,4,4,131,28286,4312604672,0,6,0,930.6293914150343,3289795146,351100,0,0,3280228352,800837,0,1151937
8,Yes,5,3,133,28449,4312604672,0,7,0,930.5848965759685,3308714810,384412,0,0,3298811904,805374,0,1189786
9,Yes,5,3,157,33513,4312604672,0,7,0,932.2709519546404,3904837514,276828,0,0,3894738944,950864,0,1227692
10,Yes,5,4,146,28930,4312604672,0,7,0,930.4088559773214,3363913385,349731,0,0,3354214400,818900,0,1168631
11,Yes,5,4,164,32507,4312604672,0,7,0,931.3550195366582,3783766589,328487,0,0,3773440000,921250,0,1249737
