Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,6,6,157,37370,8607571968,0,8,0,922.8260631624024,4309846666,1287068,0,0,4289884160,1047335,0,2334403
2,Yes,6,5,146,37294,8607571968,0,8,0,920.8727740620559,4292090647,1295041,0,0,4272091136,1042991,0,2338032
3,Yes,5,6,156,29952,8607571968,0,7,0,921.0230836839645,3447407222,1391008,0,0,3428192256,836961,0,2227969
4,Yes,2,6,92,27050,8607571968,0,4,0,923.0777000443721,3120251807,1369473,0,0,3101868032,757292,0,2126765
5,Yes,5,6,171,31911,8607571968,0,7,0,922.3320595517945,3678163109,1377815,0,0,3658616832,893217,0,2271032
6,Yes,5,5,131,31076,8607571968,0,7,0,919.5696627723601,3571281188,1374006,0,0,3551977472,867182,0,2241188
7,Yes,2,5,142,28563,8607571968,0,4,0,921.899261012676,3290737529,1338171,0,0,3272302592,798902,0,2137073
8,Yes,9,5,171,38403,8607571968,0,11,0,924.9390655763322,4439263740,1239809,0,0,4419473408,1078973,0,2318782
9,Yes,9,5,166,39839,8607571968,0,11,0,924.3144690465431,4602180280,1278578,0,0,4581724160,1118585,0,2397163
10,Yes,5,6,130,32268,8607571968,0,7,0,922.303362221809,3719206448,1353562,0,0,3699798016,903271,0,2256833
11,Yes,6,5,133,33924,8607571968,0,8,0,923.2536732804623,3914267706,1349703,0,0,3894513664,950809,0,2300512
12,Yes,5,6,147,33179,8607571968,0,7,0,922.1624562143912,3823649459,1357701,0,0,3804000256,928711,0,2286412
13,Yes,6,5,135,33427,8607571968,0,8,0,922.8139302256,3855073435,1345349,0,0,3835473920,936395,0,2281744
14,Yes,6,4,132,39391,8607571968,0,8,0,925.2127516185543,4554956869,1212151,0,0,4535189504,1107224,0,2319375
15,Yes,6,4,145,37167,8607571968,0,8,0,924.0804199876221,4292487619,1282605,0,0,4272599040,1043115,0,2325720
