Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,1,3,180,8445,1091379200,0,3,0,942.085925610045,993923841,29243,0,0,991723520,242120,0,271363
2,Yes,1,2,140,7902,1091379200,0,3,0,940.1606045569621,928196265,44067,0,0,925990912,226072,0,270139
3,Yes,1,1,164,7943,1091379200,0,3,0,939.6295431881139,932604897,43715,0,0,930394112,227147,0,270862
4,No,2,2,82,8190,1091379200,0,4,0,940.5892310698583,962480720,44026,0,0,960208896,234426,0,278452
5,Yes,1,2,157,7928,1091379200,0,3,0,939.5979449911683,930694332,43926,0,0,928485376,226681,0,270607
6,Yes,2,3,118,8311,1091379200,0,4,0,939.1391516610496,975083807,43081,0,0,972795904,237499,0,280580
7,Yes,1,1,175,8016,1091379200,0,3,0,939.7609582033687,941310678,42024,0,0,939098112,229272,0,271296
8,No,2,2,59,8245,1091379200,0,4,0,940.2257052044158,968572703,41929,0,0,966307840,235915,0,277844
9,Yes,1,2,145,7959,1091379200,0,3,0,939.7006369234637,934437414,42584,0,0,932233216,227596,0,270180
10,No,2,2,46,8059,1091379200,0,4,0,940.2853141367755,946772489,42867,0,0,944541696,230601,0,273468
