Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,3,32,7321,2165121024,0,4,0,929.2459076250342,849815336,329218,0,0,845201408,206348,0,535566
2,Yes,1,2,35,6808,2165121024,0,3,0,927.5769920658242,788923794,337828,0,0,784351232,191492,0,529320
3,Yes,1,3,52,6792,2165121024,0,3,0,929.1416503166888,788280501,338399,0,0,783704064,191334,0,529733
4,Yes,1,2,35,6787,2165121024,0,3,0,928.2730234340457,787079226,338076,0,0,782508032,191042,0,529118
5,No,1,2,47,6812,2165121024,0,3,0,927.9662778267254,789718962,337716,0,0,785145856,191686,0,529402
6,Yes,1,2,22,6797,2165121024,0,3,0,928.9898784400294,788848446,337664,0,0,784277504,191474,0,529138
7,Yes,1,4,33,6804,2165121024,0,3,0,929.907071764706,790208679,337409,0,0,785637376,191806,0,529215
8,Yes,1,2,33,6805,2165121024,0,3,0,927.4877836248714,788500092,337718,0,0,783929344,191389,0,529107
9,No,1,2,22,6820,2165121024,0,3,0,930.5319049574655,792833484,336758,0,0,788262912,192447,0,529205
10,No,1,2,21,6814,2165121024,0,3,0,929.3020422783324,791088357,337111,0,0,786518016,192021,0,529132
