Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,25,13,32465,12902539264,0,6,0,907.8255866831073,3681020344,2368007,0,0,3650547712,891247,0,3264986
2,Yes,2,25,74,28819,12902539264,0,4,0,917.0799686045704,3300587719,2384913,0,0,3272298496,798901,0,3184890
3,Yes,4,24,15,31851,12902539264,0,6,0,912.8603067835486,3631488213,2393143,0,0,3599556608,878798,0,3278254
4,No,5,25,51,36560,12902539264,0,7,0,914.8388353086082,4177742170,2381027,0,0,4144599040,1011865,0,3405268
5,No,4,25,80,36812,12902539264,0,6,0,916.1860883464267,4212754794,2293389,0,0,4181139456,1020786,0,3323237
6,No,4,20,47,37157,12902539264,0,6,0,916.4690980962382,4254151702,2260013,0,0,4223766528,1031193,0,3298745
7,Yes,5,21,47,37722,12902539264,0,7,0,917.7676812816636,4324882483,2312691,0,0,4291293184,1047679,0,3372862
8,Yes,4,25,28,31542,12902539264,0,6,0,913.3846589459657,3598180627,2382108,0,0,3567980544,871089,0,3259083
9,Yes,5,25,45,38433,12902539264,0,7,0,917.7674940637368,4405989303,2328509,0,0,4372639744,1067539,0,3408456
10,Yes,5,24,30,31892,12902539264,0,7,0,914.1851989456509,3641444304,2419855,0,0,3609591808,881248,0,3311799
11,Yes,4,25,16,31778,12902539264,0,6,0,913.4888800428306,3625539141,2373712,0,0,3594977280,877680,0,3256923
