Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,23,56,12175,12902539264,0,4,0,878.0595931533903,1333560164,2847327,0,0,1301737472,317807,0,3166155
2,Yes,2,25,80,11830,12902539264,0,4,0,882.4587811944091,1301965881,2856730,0,0,1266880512,309297,0,3167885
3,No,3,23,26,11801,12902539264,0,5,0,880.8104472745798,1296560797,2860636,0,0,1259819008,307573,0,3170638
4,Yes,2,23,85,12003,12902539264,0,4,0,875.852518196995,1311376788,2857747,0,0,1274650624,311194,0,3171184
5,Yes,2,21,816,12736,12902539264,0,4,0,800.5324401101061,1272133889,2863559,0,0,1237622784,302154,0,3167411
6,Yes,2,22,3328,15302,12902539264,0,4,0,685.6657743455497,1309409271,2854427,0,0,1274937344,311264,0,3167392
7,Yes,2,23,95,11936,12902539264,0,4,0,857.9823198186854,1277430720,2863053,0,0,1242107904,303249,0,3168239
8,No,2,21,49,11805,12902539264,0,4,0,869.9001961982349,1281150631,2863562,0,0,1248878592,304902,0,3169589
9,Yes,2,22,4546,16145,12902539264,0,4,0,632.9904062519382,1275500682,2862926,0,0,1240915968,302958,0,3167618
10,No,2,23,28,11714,12902539264,0,4,0,881.868391754341,1288528063,2859456,0,0,1257349120,306970,0,3167410
