Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,3,31,23,19523,2165121024,0,5,0,929.156530679253,2263677503,10579,0,0,2258583552,551412,33220,563970
2,Yes,3,33,32,20182,2165121024,0,5,0,905.3413584793291,2280002995,11876,0,0,2274791424,555369,49789,569875
3,No,3,37,401,20924,2165121024,0,5,0,881.9851635945804,2302540630,11574,0,0,2296934400,560775,67594,576445
4,Yes,3,37,47,20555,2165121024,0,5,0,893.6505749098352,2291777928,11869,0,0,2286092288,558128,63040,573822
5,Yes,3,32,37,19893,2165121024,0,5,0,902.069290368058,2239287388,12277,0,0,2234286080,545480,24827,559298
6,No,3,32,536,20698,2165121024,0,5,0,887.4832625568567,2292378504,12410,0,0,2287144960,558385,49286,573716
7,Yes,2,32,65,19232,2165121024,0,4,0,920.4351733333333,2208832058,12258,0,0,2204094464,538109,24622,550986
8,Yes,3,31,40,20072,2165121024,0,5,0,911.2876371438551,2282677058,11932,0,0,2277449728,556018,43313,570455
9,No,3,31,361,20733,2165121024,0,5,0,887.6343047048593,2296763288,11712,0,0,2291367936,559416,43732,574734
10,Yes,3,32,57,20229,2165121024,0,5,0,902.7462823191563,2278883449,12014,0,0,2273447936,555041,45109,569440
