Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,42,58,60462,12902539264,0,6,0,519.2755292949355,3921616025,2310948,0,0,3890991104,949949,176685,3269580
2,Yes,4,36,71,64811,12902539264,0,6,0,569.9574261675028,4614661625,2165841,0,0,4583104512,1118922,275128,3294479
3,Yes,5,41,47,62404,12902539264,0,7,0,538.1684196077803,4195012208,2254747,0,0,4163354624,1016444,222790,3282329
4,Yes,5,38,40,63301,12902539264,0,7,0,545.0727923746898,4310155072,2228292,0,0,4278681600,1044600,236896,3283952
5,Yes,4,37,66,63001,12902539264,0,6,0,580.5615016835017,4569096889,2175001,0,0,4538241024,1107969,128391,3292258
6,Yes,4,42,57,59889,12902539264,0,6,0,519.7715629521948,3888133681,2311782,0,0,3857522688,941778,194906,3261990
7,Yes,5,43,77,63782,12902539264,0,7,0,556.1408793987982,4430770503,2205107,0,0,4397707264,1073659,247482,3291150
8,Yes,4,40,69,58980,12902539264,0,6,0,511.7808928401765,3770333318,2337683,0,0,3739664384,913004,201764,3259697
9,Yes,3,38,31,56017,12902539264,0,5,0,519.710874435056,3636399496,2305104,0,0,3606831104,880574,32365,3188384
10,Yes,5,39,47,60659,12902539264,0,7,0,527.2388719234576,3994940116,2294155,0,0,3962679296,967451,172648,3272155
