Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,36,58,61348,12902539264,0,6,0,613.9649646398748,4705215079,2137737,0,0,4674334720,1141195,138450,3287476
2,No,4,43,56,55982,12902539264,0,6,0,543.0331533992385,3796879036,2333532,0,0,3766018048,919438,199030,3261438
3,Yes,3,44,43,53144,12902539264,0,5,0,540.3985712994349,3586683133,2316854,0,0,3558236160,868710,70932,3188765
4,No,4,41,47,55764,12902539264,0,6,0,553.1430112520862,3852636092,2318276,0,0,3822104576,933131,102893,3259107
5,Yes,4,36,48,57445,12902539264,0,6,0,585.6411747287011,4202421865,2240771,0,0,4171489280,1018430,113556,3267113
6,No,4,44,54,55131,12902539264,0,6,0,540.2216244122933,3719686168,2344385,0,0,3689418752,900737,129882,3252853
7,Yes,5,43,60,61313,12902539264,0,7,0,581.0099812632609,4449597758,2195743,0,0,4416057344,1078139,245248,3286563
8,Yes,4,42,129,57959,12902539264,0,6,0,589.7596806464423,4269426518,2229863,0,0,4238557184,1034804,107318,3273030
9,Yes,4,42,52,56850,12902539264,0,6,0,554.2799974651458,3935729852,2305994,0,0,3904167936,953166,203595,3267692
10,Yes,3,38,29,53491,12902539264,0,5,0,569.1526492432604,3802652186,2264621,0,0,3773509632,921267,34998,3188534
