Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,4,34,41,46733,8607571968,0,6,0,682.1298999978587,3981635615,1232224,0,0,3959648256,966711,77872,2206868
2,Yes,4,34,47,49573,8607571968,0,6,0,710.8343664587496,4401540550,1134171,0,0,4380078080,1069355,107109,2211796
3,Yes,4,41,30,45745,8607571968,0,6,0,691.2599145807807,3948955482,1249479,0,0,3927289856,958811,23411,2214351
4,Yes,5,37,44,50950,8607571968,0,7,0,682.3086812405476,4342085300,1166098,0,0,4319997952,1054687,290025,2231372
5,No,4,36,67,46377,8607571968,0,6,0,638.3693442955483,3697621813,1295119,0,0,3675451392,897327,203159,2201497
6,No,4,41,45,46485,8607571968,0,6,0,676.3672464042718,3926437639,1240925,0,0,3904684032,953292,95334,2202128
7,Yes,4,42,45,44101,8607571968,0,6,0,655.4568521300982,3609634271,1311826,0,0,3588640768,876133,92273,2195506
8,Yes,4,40,38,44397,8607571968,0,6,0,646.9787967626305,3587042401,1316092,0,0,3565740032,870542,85075,2193882
9,Yes,4,40,86,43437,8607571968,0,6,0,645.4834420812499,3501293207,1331897,0,0,3479891968,849583,73406,2188956
10,Yes,4,40,38,43788,8607571968,0,6,0,636.9681331260857,3483047826,1339723,0,0,3461132288,845003,66523,2191058
