Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier,,
1,3,2,161,12674,1091379200,0,5,0,912.1774848,1444676752,25858,0,0,1441628160,351960,23526,No,377818,
2,4,2,104,11296,1091379200,0,6,0,893.4209641,1261074636,48038,0,0,1258184704,307174,16261,Yes,,
3,4,2,100,12829,1091379200,0,6,0,896.2475809,1436808555,52213,0,0,1433538560,349985,55072,No,402198,
4,3,1,187,11105,1091379200,0,5,0,896.3971945,1243986922,45452,0,0,1241153536,303016,8316,Yes,,
5,4,1,82,11496,1091379200,0,6,0,896.5195351,1287974097,47787,0,0,1285033984,313729,22210,No,361516,
Average,3.666666667,1.666666667,114.3333333,12333,1091379200,0,5.666666667,0,0,1389819801,41952.66667,0,0,1386733568,338558,33602.66667,,380510.6667,9%
,,,,,,,,,,,,,,,,,,,
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier,,
1,4,2,120,14716,2165121024,0,6,0,712.213754,1309726737,273211,0,0,1304719360,318535,31581,No,591746,
2,4,2,81,14897,2165121024,0,6,0,743.5068718,1384104447,286993,0,0,1378828288,336628,58790,No,623621,
3,2,2,121,14389,2165121024,0,4,0,689.2897482,1239389093,293367,0,0,1234337792,301352,4907,Yes,,
4,2,2,201,12794,2165121024,0,4,0,650.5184497,1039966643,298741,0,0,1035255808,252748,15429,Yes,,
5,3,2,135,15072,2165121024,0,5,0,703.4512483,1324913905,284875,0,0,1319772160,322210,47907,No,607085,
Average,3.666666667,2,112,14895,2165121024,0,5.666666667,0,0,1339581696,281693,0,0,1334439936,325791,46092.66667,,607484,8%
,,,,,,,,,,,,,,,,,,,
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier,,
1,2,4,101,21337,4312604672,0,4,0,485.8502103,1295367959,766729,0,0,1285955584,313954,11606,Yes,,
2,5,3,111,24384,4312604672,0,7,0,528.6886169,1611032210,790092,0,0,1600794624,390819,85843,No,1180911,
3,5,3,131,24478,4312604672,0,7,0,531.0549874,1624483916,784942,0,0,1614266368,394108,85385,No,1179050,
4,4,3,157,27815,4312604672,0,6,0,584.5838185,2032093235,779928,0,0,2021126144,493439,67701,No,1273367,
5,4,3,93,21813,4312604672,0,6,0,542.7681709,1479509316,780294,0,0,1469616128,358793,52982,Yes,,
Average,4.666666667,3,133,25559,4312604672,0,6.666666667,0,0,1755869787,784987.3333,0,0,1745395712,426122,79643,,1211109.333,7%
,,,,,,,,,,,,,,,,,,,
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier,,
1,4,6,109,41312,8607571968,0,6,0,398.7259565,2058509385,1760187,0,0,2038685696,497726,60699,No,2257913,
2,3,5,91,37740,8607571968,0,5,0,393.622997,1856458090,1796772,0,0,1836699648,448413,64312,No,2245185,
3,4,4,72,38213,8607571968,0,6,0,400.6137457,1913168916,1778726,0,0,1893462016,462271,49676,No,2240997,
4,3,4,51,35711,8607571968,0,5,0,364.7259164,1627696153,1782083,0,0,1608515584,392704,13765,Yes,,
5,4,5,162,37662,8607571968,0,6,0,384.5866785,1810085159,1779236,0,0,1790574592,437152,28627,Yes,,
Average,3.666666667,5,90.66666667,39088.33333,8607571968,0,5.666666667,0,0,1942712130,1778561.667,0,0,1922949120,469470,58229,,2248031.667,3%
,,,,,,,,,,,,,,,,,,,
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier,,
1,7,6,97,69061,12902539264,0,9,0,469.8009662,4055050727,2749100,0,0,4022452224,982044,183376,No,3731144,
2,4,6,90,52038,12902539264,0,6,0,329.127389,2140432128,2783762,0,0,2111254528,515443,64634,Yes,,
3,4,6,97,53943,12902539264,0,6,0,320.5111151,2160713592,2786442,0,0,2131472384,520379,74192,Yes,,
4,6,7,172,58092,12902539264,0,8,0,350.7726402,2546616139,2770405,0,0,2516766720,614445,135437,No,3384850,
5,3,7,180,55016,12902539264,0,5,0,300.2339272,2064233629,2763751,0,0,2035384320,496920,22730,No,3260671,
Average,5.333333333,6.666666667,149.6666667,60723,12902539264,0,7.333333333,0,0,2888633498,2761085.333,0,0,2858201088,697803,113847.6667,,3458888.333,3%
,,,,,,,,,,,,,,,,,,,
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier,,
1,4,9,187,72234,17197506560,0,6,0,356.6859166,3219992631,3735345,0,0,3180163072,776407,161052,No,4511752,
2,6,8,118,66913,17197506560,0,8,0,369.2842546,3088157920,3757018,0,0,3048390656,744236,90960,Yes,,
3,4,8,96,70405,17197506560,0,6,0,347.6137255,3058658019,3760173,0,0,3018919936,737041,29304,Yes,,
4,6,8,160,75517,17197506560,0,8,0,383.644514,3620864239,3779697,0,0,3579854848,873988,95982,No,4653685,
5,5,8,155,76651,17197506560,0,7,0,320.0884458,3066354908,3752630,0,0,3026669568,738933,157739,No,4491563,
Average,5,8.333333333,167.3333333,74800.66667,17197506560,0,7,0,0,3302403926,3755890.667,0,0,3262229163,796442.6667,138257.6667,,4552333.333,3%
