Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,3,2,271,11117,1091379200,0,5,0,912.8997333333333,1268147683,33197,0,0,1265377280,308930,48512,Yes
2,2,1,145,8953,1091379200,0,4,0,888.9131787310098,994481489,50163,0,0,992092160,242210,12240,No
3,2,2,198,8903,1091379200,0,4,0,887.3004696101561,987020327,49697,0,0,984649728,240393,8421,No
4,2,1,168,8567,1091379200,0,4,0,894.3347915012841,957396620,49582,0,0,955084800,233175,5017,Yes
5,2,2,219,8838,1091379200,0,4,0,884.83935174287,977092706,50148,0,0,974737408,237973,8046,No
Average,"=AVERAGEIF($R2:$R6, ""No"", B2:B6)","=AVERAGEIF($R2:$R6, ""No"", C2:C6)","=AVERAGEIF($R2:$R6, ""No"", D2:D6)","=AVERAGEIF($R2:$R6, ""No"", E2:E6)","=AVERAGEIF($R2:$R6, ""No"", F2:F6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", H2:H6)","=AVERAGEIF($R2:$R6, ""No"", I2:I6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", K2:K6)","=AVERAGEIF($R2:$R6, ""No"", L2:L6)","=AVERAGEIF($R2:$R6, ""No"", M2:M6)","=AVERAGEIF($R2:$R6, ""No"", N2:N6)","=AVERAGEIF($R2:$R6, ""No"", O2:O6)","=AVERAGEIF($R2:$R6, ""No"", P2:P6)","=AVERAGEIF($R2:$R6, ""No"", Q2:Q6)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,24,1,185,19963,2165121024,0,26,0,781.5872770263501,1950042723,312129,0,0,1943437312,474472,101869,Yes
2,3,2,131,12635,2165121024,0,5,0,646.733040132985,1021059928,307450,0,0,1016307712,248122,9576,No
3,2,2,159,12518,2165121024,0,4,0,644.3893953339725,1007934851,307853,0,0,1003204608,244923,7921,No
4,2,2,135,12352,2165121024,0,4,0,642.1601736032388,991122410,306212,0,0,986439680,240830,4749,Yes
5,6,2,186,12688,2165121024,0,8,0,700.9174895160019,1111267447,308081,0,0,1106333696,270101,13016,No
