Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,5,15,92,10850,1091379200,0,7,0,897.0034229810798,1214666575,53104,0,0,1153785856,281686,48213,Yes
2,2,16,120,8622,1091379200,0,4,0,895.3733953056008,962985572,49453,0,0,949948416,231921,5168,No
3,2,16,135,8667,1091379200,0,4,0,895.805505953069,968489321,50979,0,0,957980672,233882,4911,No
4,2,16,124,8822,1091379200,0,4,0,894.9210102203043,984871944,50200,0,0,973438976,237656,10087,Yes
5,2,16,83,8581,1091379200,0,4,0,899.1875614711033,962480325,49385,0,0,952193024,232469,4301,No
Average,"=AVERAGEIF($R2:$R6, ""No"", B2:B6)","=AVERAGEIF($R2:$R6, ""No"", C2:C6)","=AVERAGEIF($R2:$R6, ""No"", D2:D6)","=AVERAGEIF($R2:$R6, ""No"", E2:E6)","=AVERAGEIF($R2:$R6, ""No"", F2:F6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", H2:H6)","=AVERAGEIF($R2:$R6, ""No"", I2:I6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", K2:K6)","=AVERAGEIF($R2:$R6, ""No"", L2:L6)","=AVERAGEIF($R2:$R6, ""No"", M2:M6)","=AVERAGEIF($R2:$R6, ""No"", N2:N6)","=AVERAGEIF($R2:$R6, ""No"", O2:O6)","=AVERAGEIF($R2:$R6, ""No"", P2:P6)","=AVERAGEIF($R2:$R6, ""No"", Q2:Q6)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,5,16,72,14051,2165121024,0,7,0,706.4209362308515,1239114794,306785,0,0,1195823104,291949,50725,Yes
2,2,16,105,11812,2165121024,0,4,0,678.3614174296372,1000031552,307256,0,0,986210304,240774,8159,No
3,2,16,102,11881,2165121024,0,4,0,682.5525481668774,1012098390,305566,0,0,998973440,243890,10649,No
4,2,16,99,11484,2165121024,0,4,0,673.6937223578653,965527593,305667,0,0,952360960,232510,2770,No
5,3,17,107,12768,2165121024,0,5,0,650.7389757666065,1036984201,305816,0,0,1014456320,247670,16428,Yes
Average,"=AVERAGEIF($R10:$R14, ""No"", B10:B14)","=AVERAGEIF($R10:$R14, ""No"", C10:C14)","=AVERAGEIF($R10:$R14, ""No"", D10:D14)","=AVERAGEIF($R10:$R14, ""No"", E10:E14)","=AVERAGEIF($R10:$R14, ""No"", F10:F14)","=AVERAGEIF($R10:$R14, ""No"", G10:G14)","=AVERAGEIF($R10:$R14, ""No"", H10:H14)","=AVERAGEIF($R10:$R14, ""No"", I10:I14)","=AVERAGEIF($R10:$R14, ""No"", G10:G14)","=AVERAGEIF($R10:$R14, ""No"", K10:K14)","=AVERAGEIF($R10:$R14, ""No"", L10:L14)","=AVERAGEIF($R10:$R14, ""No"", M10:M14)","=AVERAGEIF($R10:$R14, ""No"", N10:N14)","=AVERAGEIF($R10:$R14, ""No"", O10:O14)","=AVERAGEIF($R10:$R14, ""No"", P10:P14)","=AVERAGEIF($R10:$R14, ""No"", Q10:Q14)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,4,20,688,20653,4312604672,0,6,0,489.2994201521834,1261751957,819159,0,0,1218113536,297391,42206,Yes
2,2,19,124,17586,4312604672,0,4,0,461.11995810326175,1012349430,819496,0,0,992194560,242235,2781,No
3,2,17,123,17514,4312604672,0,4,0,462.24403772075215,1010773289,819428,0,0,990269440,241765,2342,No
4,2,16,113,17740,4312604672,0,4,0,469.5241832543444,1040018470,818549,0,0,1019723776,248956,7489,No
5,2,19,121,19616,4312604672,0,4,0,417.4228471704853,1022317084,819593,0,0,1000792064,244334,5184,Yes
Average,"=AVERAGEIF($R18:$R22, ""No"", B18:B22)","=AVERAGEIF($R18:$R22, ""No"", C18:C22)","=AVERAGEIF($R18:$R22, ""No"", D18:D22)","=AVERAGEIF($R18:$R22, ""No"", E18:E22)","=AVERAGEIF($R18:$R22, ""No"", F18:F22)","=AVERAGEIF($R18:$R22, ""No"", G18:G22)","=AVERAGEIF($R18:$R22, ""No"", H18:H22)","=AVERAGEIF($R18:$R22, ""No"", I18:I22)","=AVERAGEIF($R18:$R22, ""No"", G18:G22)","=AVERAGEIF($R18:$R22, ""No"", K18:K22)","=AVERAGEIF($R18:$R22, ""No"", L18:L22)","=AVERAGEIF($R18:$R22, ""No"", M18:M22)","=AVERAGEIF($R18:$R22, ""No"", N18:N22)","=AVERAGEIF($R18:$R22, ""No"", O18:O22)","=AVERAGEIF($R18:$R22, ""No"", P18:P22)","=AVERAGEIF($R18:$R22, ""No"", Q18:Q22)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,2,17,94,30264,8607571968,0,4,0,323.94375270274736,1224578478,1825736,0,0,1199767552,292912,4570,No
2,3,20,67,34983,8607571968,0,5,0,273.18738506421073,1193718934,1844632,0,0,1146195968,279833,10336,Yes
3,3,20,78,34795,8607571968,0,5,0,267.81037319913736,1163925832,1844681,0,0,1123082240,274190,6912,Yes
4,2,20,138,34346,8607571968,0,4,0,265.9088238652916,1140735928,1844776,0,0,1117097984,272729,3088,No
5,2,18,79,30564,8607571968,0,4,0,302.6627593792968,1155429723,1844582,0,0,1129226240,275690,6259,No
Average,"=AVERAGEIF($R26:$R30, ""No"", B26:B30)","=AVERAGEIF($R26:$R30, ""No"", C26:C30)","=AVERAGEIF($R26:$R30, ""No"", D26:D30)","=AVERAGEIF($R26:$R30, ""No"", E26:E30)","=AVERAGEIF($R26:$R30, ""No"", F26:F30)","=AVERAGEIF($R26:$R30, ""No"", G26:G30)","=AVERAGEIF($R26:$R30, ""No"", H26:H30)","=AVERAGEIF($R26:$R30, ""No"", I26:I30)","=AVERAGEIF($R26:$R30, ""No"", G26:G30)","=AVERAGEIF($R26:$R30, ""No"", K26:K30)","=AVERAGEIF($R26:$R30, ""No"", L26:L30)","=AVERAGEIF($R26:$R30, ""No"", M26:M30)","=AVERAGEIF($R26:$R30, ""No"", N26:N30)","=AVERAGEIF($R26:$R30, ""No"", O26:O30)","=AVERAGEIF($R26:$R30, ""No"", P26:P30)","=AVERAGEIF($R26:$R30, ""No"", Q26:Q30)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,3,22,50,50028,12902539264,0,5,0,223.13752125744912,1394564477,2851271,0,0,1345400832,328467,13240,Yes
2,3,21,53,49505,12902539264,0,5,0,213.7454268854579,1321910110,2869051,0,0,1267073024,309344,12491,No
3,2,22,85,49362,12902539264,0,4,0,211.12666526145117,1301911350,2869018,0,0,1266278400,309150,10910,No
4,3,21,220,49971,12902539264,0,5,0,212.4781547947948,1326448095,2869354,0,0,1264476160,308710,12926,Yes
5,3,22,74,49608,12902539264,0,5,0,214.48094994554916,1329194164,2868622,0,0,1271324672,310382,12345,No
Average,"=AVERAGEIF($R34:$R38, ""No"", B34:B38)","=AVERAGEIF($R34:$R38, ""No"", C34:C38)","=AVERAGEIF($R34:$R38, ""No"", D34:D38)","=AVERAGEIF($R34:$R38, ""No"", E34:E38)","=AVERAGEIF($R34:$R38, ""No"", F34:F38)","=AVERAGEIF($R34:$R38, ""No"", G34:G38)","=AVERAGEIF($R34:$R38, ""No"", H34:H38)","=AVERAGEIF($R34:$R38, ""No"", I34:I38)","=AVERAGEIF($R34:$R38, ""No"", G34:G38)","=AVERAGEIF($R34:$R38, ""No"", K34:K38)","=AVERAGEIF($R34:$R38, ""No"", L34:L38)","=AVERAGEIF($R34:$R38, ""No"", M34:M38)","=AVERAGEIF($R34:$R38, ""No"", N34:N38)","=AVERAGEIF($R34:$R38, ""No"", O34:O38)","=AVERAGEIF($R34:$R38, ""No"", P34:P38)","=AVERAGEIF($R34:$R38, ""No"", Q34:Q38)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,3,23,59,66398,17197506560,0,5,0,179.8211289190207,1491741045,3877743,0,0,1428807680,348830,9801,Yes
2,3,23,63,65530,17197506560,0,5,0,171.3495899980155,1402862315,3896653,0,0,1346428928,328718,6942,Yes
3,3,23,74,64838,17197506560,0,5,0,176.67734654015274,1431205393,3896636,0,0,1361539072,332407,9831,No
4,3,24,32,54718,17197506560,0,5,0,205.4014345997733,1404065874,3895731,0,0,1349074944,329364,8874,No
5,3,22,50,65007,17197506560,0,5,0,174.87459432176655,1420315805,3897269,0,0,1358196736,331591,10317,No
