Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,107.000,9.443,0.683,1.056,11.676,17.836,20.224,20.764,21.507,28.802,0.106
1,99.000,10.087,0.516,0.770,11.696,19.150,20.140,25.679,29.701,29.701,0.099
2,126.000,7.909,0.520,0.644,0.917,13.033,19.973,20.662,26.962,28.354,0.126
3,94.000,10.549,0.510,0.741,11.710,17.863,20.708,28.919,37.459,37.459,0.095
4,117.000,8.544,0.500,0.686,1.248,18.411,20.571,21.318,30.167,32.003,0.117
5,112.000,8.956,0.485,0.589,1.098,18.096,21.455,27.888,35.922,45.709,0.112
6,90.000,11.150,0.629,0.853,11.199,19.070,27.998,35.358,58.374,58.374,0.090
7,98.000,10.191,0.616,0.851,0.969,18.931,26.569,29.854,37.355,37.355,0.098
8,107.000,9.308,0.618,0.800,11.704,19.118,20.174,20.650,27.615,28.754,0.107
9,113.000,8.798,0.616,0.855,11.605,13.066,19.351,21.202,29.700,29.790,0.114
10,128.000,7.823,0.558,0.777,0.894,17.790,20.060,20.672,27.493,28.595,0.128
11,96.000,10.400,0.618,0.959,11.949,19.162,20.717,21.535,30.006,30.006,0.096
12,117.000,8.542,0.808,1.059,1.143,15.119,20.486,21.411,53.006,57.815,0.117
13,121.000,8.369,0.791,1.106,1.191,17.144,19.234,20.510,20.720,28.807,0.119
14,104.000,9.551,0.605,0.984,12.005,18.037,20.403,20.711,21.629,27.008,0.105
15,127.000,7.831,0.681,0.911,1.131,14.808,19.379,20.419,21.616,30.008,0.128
16,94.000,10.722,0.920,1.112,11.959,19.089,21.506,21.612,30.040,30.040,0.093
17,115.000,8.654,0.629,0.896,1.118,17.293,20.416,21.530,29.340,36.602,0.116
18,108.000,9.258,0.620,0.907,11.921,18.395,19.592,20.619,21.552,27.107,0.108
19,88.000,11.409,0.638,0.925,12.009,19.387,20.714,27.852,78.135,78.135,0.088
20,111.000,8.991,0.646,1.090,11.971,18.102,19.561,20.537,20.771,21.653,0.111
21,77.000,12.927,0.855,1.098,11.992,18.267,20.460,21.603,262.803,262.803,0.077
22,106.000,9.343,0.710,0.973,11.939,18.497,20.527,20.633,25.687,27.640,0.107
23,114.000,8.918,0.700,0.844,5.011,17.473,20.552,21.555,29.942,37.032,0.112
24,100.000,9.836,0.689,0.921,11.916,18.086,20.660,22.420,29.522,29.522,0.102
25,119.000,8.507,0.644,0.874,0.984,17.364,20.701,23.698,29.002,58.910,0.118
26,106.000,9.230,0.626,0.837,1.704,18.140,20.574,21.874,30.065,51.511,0.108
27,120.000,8.373,0.664,0.958,1.132,18.113,19.495,20.536,21.669,34.860,0.119
28,115.000,8.731,0.732,0.981,11.981,16.475,19.676,20.763,23.739,28.924,0.115
29,90.000,10.988,0.662,0.924,1.041,19.477,21.769,27.870,93.081,93.081,0.091
30,112.000,8.953,0.470,0.910,1.057,18.374,20.406,21.515,28.966,38.152,0.112
31,119.000,8.374,0.645,0.814,0.973,18.114,20.665,21.554,28.683,29.301,0.119
32,92.000,10.838,0.634,0.898,11.925,19.190,20.595,28.912,56.570,56.570,0.092
33,118.000,8.507,0.625,0.822,11.809,13.343,20.581,21.635,26.921,28.445,0.118
34,125.000,7.980,0.617,0.870,0.973,17.409,19.770,20.634,25.282,27.857,0.125
35,101.000,9.860,0.663,0.952,11.997,19.375,20.461,20.692,21.655,26.401,0.101
36,106.000,9.380,0.677,0.892,11.932,18.253,20.670,21.573,26.454,28.933,0.107
37,113.000,8.923,0.625,0.806,11.896,17.526,19.518,20.853,28.409,28.947,0.112
38,120.000,8.296,0.632,0.787,0.948,14.939,19.669,21.516,28.155,29.863,0.121
39,98.000,10.217,0.557,0.860,11.888,19.298,21.555,25.873,69.374,69.374,0.098
40,103.000,9.703,0.448,0.938,11.980,18.970,20.625,20.814,21.676,21.680,0.103
41,123.000,8.187,0.409,0.517,11.499,13.302,19.583,20.672,28.490,28.998,0.122
42,116.000,8.525,0.444,0.602,11.929,13.313,19.543,20.893,28.044,29.271,0.117
43,121.000,8.354,0.442,0.508,11.445,13.230,20.043,21.030,28.023,28.436,0.120
44,104.000,9.506,0.452,0.648,11.920,19.173,20.484,23.306,29.347,37.067,0.105
45,96.000,10.365,0.459,0.818,11.948,18.778,20.404,21.549,79.651,79.651,0.096
46,109.000,9.333,0.612,0.828,11.928,18.847,20.400,20.892,21.773,24.717,0.107
47,118.000,8.383,0.679,0.830,0.956,17.519,19.891,20.898,27.211,29.046,0.119
48,116.000,8.548,0.683,0.850,11.976,16.697,19.578,20.476,20.807,20.871,0.117
49,107.000,9.364,0.571,0.934,11.911,18.066,20.453,20.852,26.872,27.194,0.107
50,104.000,9.647,0.614,0.929,11.915,17.874,20.481,20.831,27.417,70.503,0.104
51,123.000,8.205,0.631,0.786,0.951,18.580,20.381,24.924,28.321,28.403,0.122
52,95.000,10.451,0.640,0.916,11.926,19.423,20.841,21.700,36.735,36.735,0.096
53,120.000,8.309,0.568,0.847,0.948,17.429,19.580,20.770,21.998,38.220,0.120
54,122.000,8.150,0.621,0.829,0.960,16.184,19.601,20.192,21.654,25.313,0.123
55,104.000,9.616,0.680,0.921,11.990,18.545,20.496,20.787,21.651,21.676,0.104
56,111.000,8.982,0.623,0.856,3.445,19.121,20.007,21.519,26.925,28.970,0.111
57,84.000,11.962,0.461,0.918,13.042,19.356,21.654,27.874,55.321,55.321,0.084
58,114.000,8.908,0.401,0.795,11.897,16.553,19.538,21.587,28.792,35.809,0.112
59,121.000,8.008,0.655,0.799,0.940,18.448,20.634,21.565,29.044,31.798,0.125
