Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,112.000,8.929,0.639,1.091,11.893,16.376,19.738,20.423,20.738,21.537,0.112
1,124.000,8.093,0.524,0.784,1.450,17.024,19.635,20.533,21.635,28.141,0.124
2,121.000,8.315,0.510,0.816,3.988,13.335,19.398,20.576,20.908,21.524,0.120
3,124.000,7.955,0.495,0.882,2.165,13.428,19.239,19.599,20.714,28.036,0.126
4,111.000,9.072,0.518,0.954,11.913,17.548,20.142,20.565,25.111,26.216,0.110
5,98.000,10.118,0.618,0.934,11.915,17.331,20.585,20.740,59.447,59.447,0.099
6,117.000,8.674,0.474,0.671,11.886,13.213,19.908,20.964,21.597,29.725,0.115
7,109.000,9.097,0.471,0.790,11.595,13.328,20.330,24.543,45.945,56.249,0.110
8,121.000,8.233,0.599,0.781,1.781,13.320,19.721,20.788,20.908,22.511,0.121
9,115.000,8.748,0.601,0.841,11.958,16.834,19.527,19.805,20.787,22.628,0.114
10,115.000,8.685,0.564,0.816,11.891,17.428,19.583,20.641,20.878,28.319,0.115
11,100.000,9.963,0.660,0.924,11.930,17.958,20.650,21.534,52.155,52.155,0.100
12,114.000,8.832,0.731,0.973,11.880,18.194,20.505,20.639,21.530,29.884,0.113
13,106.000,9.396,0.462,0.803,11.988,14.825,19.638,20.739,21.145,22.703,0.106
14,118.000,8.386,0.634,0.843,3.241,15.058,19.393,19.683,20.800,29.086,0.119
15,116.000,8.721,0.706,0.903,11.955,18.082,19.505,19.809,20.883,21.653,0.115
16,120.000,8.250,0.677,0.907,1.064,16.971,19.607,20.677,21.529,21.554,0.121
17,122.000,8.224,0.706,0.915,1.120,15.692,19.689,20.436,21.602,45.285,0.122
18,107.000,9.354,0.825,1.059,1.158,19.117,20.405,20.618,46.160,56.194,0.107
19,113.000,8.861,0.899,1.086,11.908,15.143,19.327,20.423,21.515,28.776,0.113
20,122.000,8.124,0.810,1.078,1.142,16.316,19.232,19.542,20.650,21.651,0.123
21,122.000,8.177,0.771,1.043,1.120,18.040,19.477,20.510,21.653,24.242,0.122
22,115.000,8.808,0.776,1.071,1.140,18.088,19.437,20.526,24.314,64.059,0.114
23,117.000,8.369,0.750,0.966,1.423,13.290,19.302,20.580,23.479,44.508,0.119
24,111.000,9.036,0.744,1.014,11.893,15.423,19.221,20.521,21.521,77.016,0.111
25,109.000,9.125,0.682,0.953,11.890,18.256,19.456,20.526,21.533,73.788,0.110
26,102.000,9.881,0.677,0.977,11.962,18.455,19.915,20.766,21.560,23.478,0.101
27,115.000,8.617,0.492,0.965,3.877,17.540,19.665,20.864,21.660,25.265,0.116
28,122.000,8.321,0.630,0.862,11.947,13.333,19.365,20.160,20.762,20.808,0.120
29,99.000,9.994,0.649,0.948,11.939,18.653,20.673,21.568,28.990,28.990,0.100
30,102.000,9.836,0.532,0.852,11.920,18.848,19.810,20.588,48.355,50.795,0.102
31,111.000,9.015,0.636,0.896,11.925,17.394,20.604,20.844,22.340,23.347,0.111
32,103.000,9.605,0.575,0.937,11.929,16.829,19.693,21.529,32.176,46.016,0.104
33,97.000,10.356,0.629,0.886,11.992,19.332,20.565,20.753,57.718,57.718,0.097
34,131.000,7.645,0.448,0.834,0.969,13.487,19.367,19.686,21.239,21.629,0.131
35,111.000,8.913,0.632,0.843,11.956,18.859,20.462,20.796,20.934,21.674,0.112
36,104.000,9.762,0.626,0.933,11.926,18.419,19.652,20.561,26.412,68.755,0.102
37,156.000,6.359,0.447,0.489,0.760,13.210,19.278,20.446,21.069,23.614,0.157
