Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,95.000,10.539,1.015,1.292,11.786,20.139,20.396,22.054,29.973,29.973,0.095
1,125.000,8.079,0.594,1.080,1.296,17.044,20.267,20.476,27.567,28.727,0.124
2,115.000,8.573,0.742,1.053,1.559,18.091,20.448,20.585,24.904,26.429,0.117
3,118.000,8.509,0.728,1.044,3.231,16.550,19.543,20.470,20.866,21.700,0.118
4,97.000,10.274,0.708,1.031,12.015,18.443,20.445,20.714,27.809,27.809,0.097
5,103.000,9.785,0.685,1.030,11.995,16.389,19.281,20.662,26.981,36.627,0.102
6,105.000,9.384,0.684,0.946,1.075,18.234,20.586,25.546,50.625,54.171,0.107
7,113.000,8.895,0.684,0.872,11.755,18.236,20.241,21.012,21.693,28.912,0.112
8,107.000,9.376,0.614,0.977,11.773,18.270,20.795,21.588,28.702,28.736,0.107
9,124.000,8.202,0.567,0.957,1.007,17.613,19.840,20.547,28.038,28.573,0.122
10,119.000,8.175,0.624,0.940,1.178,17.019,20.447,20.933,28.771,30.231,0.122
11,115.000,8.798,0.702,1.115,1.838,18.166,20.438,20.514,21.649,21.676,0.114
12,83.000,12.077,1.085,1.258,12.014,20.220,21.345,22.147,85.596,85.596,0.083
13,102.000,9.749,0.845,1.094,11.909,19.137,20.461,21.548,27.570,29.857,0.103
14,107.000,9.270,0.812,1.051,1.145,18.033,20.429,22.402,29.103,38.556,0.108
15,117.000,8.568,0.863,1.086,11.739,14.946,20.293,20.527,21.552,29.000,0.117
16,123.000,8.062,0.750,1.029,1.135,16.290,19.385,20.516,27.522,29.063,0.124
17,119.000,8.408,0.721,0.941,1.097,17.910,19.809,20.677,21.738,28.944,0.119
18,111.000,8.968,0.757,1.046,11.959,18.129,19.613,20.755,27.645,27.833,0.112
19,96.000,10.424,0.827,1.026,11.900,19.068,20.589,24.709,65.187,65.187,0.096
20,117.000,8.606,0.451,0.642,11.452,13.235,20.078,20.848,27.776,27.989,0.116
21,113.000,8.820,0.443,0.621,11.278,18.287,20.368,20.904,28.466,29.196,0.113
22,123.000,8.071,0.442,0.482,11.452,12.864,19.676,20.974,27.928,28.883,0.124
23,131.000,7.673,0.441,0.491,0.686,13.319,19.658,20.579,21.640,29.266,0.130
24,126.000,8.021,0.400,0.465,11.465,13.307,19.687,20.255,28.277,29.941,0.125
25,112.000,8.884,0.413,0.467,11.508,13.304,19.657,20.642,54.027,59.175,0.113
26,117.000,8.468,0.444,0.625,11.805,13.235,19.598,20.386,27.956,28.974,0.118
