Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,89.000,11.606,1.050,1.281,11.670,19.986,27.901,29.780,46.840,46.840,0.086
1,96.000,10.214,0.879,1.128,3.202,18.733,27.298,33.737,35.692,35.692,0.098
2,96.000,10.356,0.776,1.077,11.688,19.007,21.316,27.410,29.620,29.620,0.097
3,106.000,9.558,0.492,1.050,11.175,18.058,21.284,23.994,36.139,37.206,0.105
4,96.000,10.204,0.712,1.036,11.682,17.965,24.979,28.780,34.595,34.595,0.098
5,117.000,8.523,0.693,1.040,4.299,16.118,20.178,20.316,21.481,21.489,0.117
6,108.000,9.223,0.463,0.707,1.259,17.964,19.828,27.758,47.657,55.611,0.108
7,103.000,9.687,0.459,0.649,11.625,18.524,20.780,21.459,28.490,36.435,0.103
8,102.000,10.002,0.430,0.646,11.698,19.196,20.984,27.061,28.306,28.629,0.100
9,97.000,10.146,0.440,0.719,11.691,19.234,20.783,26.638,44.098,44.098,0.099
10,104.000,9.554,0.430,0.723,11.673,18.097,20.506,26.121,29.104,36.648,0.105
11,78.000,13.085,0.456,4.458,13.055,20.577,29.482,32.008,36.827,36.827,0.076
12,67.000,14.626,4.265,4.980,16.167,21.358,28.648,31.561,41.188,41.188,0.068
13,77.000,13.345,4.247,4.972,5.304,20.065,24.967,31.570,63.887,63.887,0.075
14,58.000,17.077,4.206,4.988,19.841,21.758,31.792,42.212,96.432,96.432,0.059
15,72.000,13.858,4.195,4.988,17.556,21.383,23.825,26.257,34.021,34.021,0.072
16,81.000,12.153,4.429,5.196,5.874,20.580,22.935,23.859,31.418,31.418,0.082
17,74.000,13.545,4.405,5.354,18.210,20.071,23.009,24.637,36.844,36.844,0.074
18,69.000,14.527,0.993,5.541,19.990,21.356,23.847,24.195,32.999,32.999,0.069
19,76.000,13.224,0.717,1.003,5.534,19.082,22.464,31.425,287.732,287.732,0.076
20,92.000,10.793,0.459,0.825,11.677,19.137,21.408,27.576,46.364,46.364,0.093
21,102.000,9.837,0.490,0.813,2.605,19.033,21.306,27.379,37.311,44.115,0.102
22,102.000,9.758,0.586,0.696,0.928,19.280,20.906,25.730,51.225,59.058,0.102
23,110.000,9.054,0.597,0.727,11.611,17.354,20.152,20.604,29.529,36.962,0.110
24,115.000,8.759,0.477,0.712,11.100,17.743,20.325,22.470,29.015,30.193,0.114
25,119.000,8.292,0.492,0.576,11.156,13.046,20.066,20.567,28.831,29.825,0.121
26,124.000,8.106,0.479,0.527,11.191,13.020,19.797,20.678,27.492,27.988,0.123
27,130.000,7.658,0.438,0.629,0.780,17.298,20.183,21.906,35.928,36.076,0.131
28,108.000,9.252,0.443,0.696,11.674,17.844,20.539,27.328,28.539,35.699,0.108
29,83.000,11.994,0.447,0.587,11.691,19.791,28.150,29.661,50.363,50.363,0.083
30,115.000,8.822,0.438,0.629,0.795,16.194,27.040,29.138,38.028,40.427,0.113
31,112.000,8.865,0.399,0.615,11.683,13.078,20.524,21.189,27.973,28.878,0.113
32,126.000,7.914,0.434,0.508,0.932,13.038,19.320,20.012,21.478,26.114,0.126
33,110.000,9.124,0.432,0.632,11.707,13.071,20.389,20.690,27.194,28.573,0.110
34,136.000,7.309,0.435,0.496,0.750,12.957,18.998,20.406,50.158,53.892,0.137
35,114.000,8.877,0.389,0.519,0.810,18.093,21.307,27.020,30.183,43.718,0.113
36,98.000,10.035,0.432,0.666,11.526,19.140,21.282,28.442,37.592,37.592,0.100
37,109.000,9.244,0.430,0.598,11.588,17.807,20.701,29.124,29.815,36.183,0.108
38,107.000,9.343,0.469,0.663,11.449,17.166,20.478,21.817,30.026,30.185,0.107
39,107.000,9.324,0.434,0.503,11.673,18.226,20.600,21.357,29.372,29.790,0.107
40,131.000,7.652,0.433,0.510,0.766,13.024,19.373,20.225,48.381,50.246,0.131
41,113.000,8.839,0.397,0.499,11.675,13.031,19.775,20.378,28.396,28.525,0.113
42,135.000,7.415,0.432,0.497,0.764,13.039,19.261,20.378,28.728,28.863,0.135
43,123.000,8.130,0.429,0.494,0.752,18.049,20.201,21.879,36.086,44.512,0.123
44,98.000,10.134,0.438,0.517,11.221,18.999,24.697,28.850,36.839,36.839,0.099
45,95.000,10.558,0.380,0.679,11.234,19.271,21.308,28.287,43.571,43.571,0.095
46,102.000,9.740,0.570,0.692,1.082,18.630,27.740,28.626,28.999,36.720,0.103
47,95.000,10.532,0.430,0.689,11.612,18.494,20.631,26.623,77.419,77.419,0.095
48,135.000,7.424,0.438,0.495,0.764,13.039,19.243,20.380,29.052,29.831,0.135
49,118.000,8.521,0.427,0.641,11.553,13.046,19.723,21.392,27.522,28.713,0.117
50,119.000,8.281,0.462,0.605,0.852,17.595,20.317,20.710,28.535,28.877,0.121
51,129.000,7.775,0.460,0.549,0.806,14.676,20.393,21.483,29.684,35.070,0.129
52,114.000,8.782,0.455,0.507,0.769,18.614,20.584,27.150,28.842,37.621,0.114
53,107.000,9.425,0.458,0.485,0.786,15.671,23.038,28.363,53.720,74.516,0.106
54,116.000,8.542,0.431,0.501,11.199,17.099,20.157,20.601,24.670,29.786,0.117
55,121.000,8.290,0.390,0.493,2.689,13.012,20.199,20.602,36.799,37.489,0.121
56,120.000,8.221,0.455,0.601,0.812,17.127,20.423,26.732,38.428,66.360,0.122
57,117.000,8.608,0.389,0.575,11.560,13.078,19.978,20.695,21.498,21.504,0.116
58,133.000,7.486,0.433,0.504,0.948,13.010,18.875,19.715,21.354,27.970,0.134
59,91.000,10.813,0.458,0.490,11.560,19.636,21.480,28.520,52.406,52.406,0.092
