Time,Second,Number of Sorts,State
17:28:13,1,551,
17:28:14,2,125046,
17:28:15,3,128319,
17:28:16,4,167149,
17:28:17,5,178742,
17:28:18,6,179144,
17:28:19,7,178667,
17:28:20,8,179187,
17:28:21,9,179066,
17:28:22,10,177827,
17:28:23,11,141039,
17:28:24,12,168698,
17:28:25,13,178247,
17:28:26,14,178824,
17:28:27,15,179079,
17:28:28,16,178903,
17:28:29,17,178653,
17:28:30,18,178041,
17:28:31,19,178974,
17:28:32,20,179106,
17:28:33,21,178791,
17:28:34,22,179025,
17:28:35,23,176016,
17:28:36,24,175017,
17:28:37,25,173148,
17:28:38,26,172657,
17:28:39,27,173272,
17:28:40,28,173477,
17:28:41,29,172617,
17:28:42,30,172133,
17:28:43,31,143157,
17:28:44,32,85477,
17:28:45,33,128835,
17:28:46,34,135476,
17:28:47,35,160744,
17:28:48,36,178934,
17:28:49,37,178659,
17:28:50,38,178771,
17:28:51,39,178571,
17:28:52,40,178457,
17:28:53,41,178451,
