Time,Second,Number of Sorts,State
18:16:32,1,283,
18:16:33,2,108975,
18:16:34,3,121461,
18:16:35,4,144008,
18:16:36,5,173257,
18:16:37,6,179197,
18:16:38,7,179403,
18:16:39,8,179021,
18:16:40,9,179254,
18:16:41,10,179371,
18:16:42,11,138276,
18:16:43,12,175532,
18:16:44,13,179118,
18:16:45,14,179258,
18:16:46,15,179423,
18:16:47,16,178965,
18:16:48,17,171562,
18:16:49,18,165686,
18:16:50,19,167149,
18:16:51,20,164519,
18:16:52,21,163649,
18:16:53,22,164078,
18:16:54,23,164124,
18:16:55,24,164438,
18:16:56,25,164257,
18:16:57,26,163557,
18:16:58,27,138574,
18:16:59,28,132382,
18:17:00,29,136648,
18:17:01,30,169083,
18:17:02,31,177550,
18:17:03,32,179273,
18:17:04,33,177747,
18:17:05,34,176310,
18:17:06,35,178274,
18:17:07,36,178774,
18:17:08,37,178450,
18:17:09,38,179316,
18:17:10,39,179197,
18:17:11,40,179027,
18:17:12,41,179346,
18:17:13,42,179309,
18:17:14,43,178728,
18:17:15,44,179460,
18:17:16,45,178864,
