Time,Second,Number of Sorts,State
18:29:17,1,207,
18:29:18,2,127691,
18:29:19,3,128814,
18:29:20,4,169606,
18:29:21,5,180084,
18:29:22,6,179551,
18:29:23,7,179486,
18:29:24,8,179919,
18:29:25,9,179898,
18:29:26,10,180475,
18:29:27,11,137970,
18:29:28,12,175174,
18:29:29,13,179951,
18:29:30,14,180004,
18:29:31,15,179686,
18:29:32,16,179497,
18:29:33,17,168364,
18:29:34,18,169182,
18:29:35,19,168589,
18:29:36,20,169138,
18:29:37,21,168595,
18:29:38,22,169019,
18:29:39,23,143758,
18:29:40,24,133445,
18:29:41,25,139952,
18:29:42,26,168093,
18:29:43,27,180025,
18:29:44,28,179840,
18:29:45,29,179948,
18:29:46,30,180130,
18:29:47,31,180072,
18:29:48,32,179881,
18:29:49,33,180431,
18:29:50,34,180859,
18:29:51,35,180220,
