Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,2,2,20,5545,2165121024,0,4,0,460.60306693126466,318927992,286022,0,0,32768,8,0,535127
2,Yes,2,3,40,5421,2165121024,0,4,0,446.5931812476929,302242874,301179,0,0,32768,8,0,535728
3,No,2,3,35,5484,2165121024,0,4,0,445.8345542784163,305240041,298459,0,0,32768,8,0,536417
4,Yes,2,3,26,5209,2165121024,0,4,0,464.6738885900883,302174175,299980,0,0,32768,8,0,535042
5,Yes,2,3,39,5246,2165121024,0,4,0,462.0003906160595,302571148,299618,0,0,32768,8,0,536288
6,Yes,1,3,174,5345,2165121024,0,3,0,452.20219692998876,301745685,296854,0,0,32768,8,0,533071
7,Yes,2,4,26,5285,2165121024,0,4,0,459.7164067411475,303257935,298245,0,0,32768,8,0,534690
8,Yes,2,3,26,5352,2165121024,0,4,0,457.93162385492616,305972174,299984,0,0,32768,8,0,538398
9,Yes,1,3,122,5253,2165121024,0,3,0,458.2761264761905,300531376,297674,0,0,32768,8,0,533025
10,No,2,3,29,5624,2165121024,0,4,0,445.34555701832414,312698564,299790,0,0,32768,8,0,541357
