Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,1,7,24,11165,12902539264,0,3,0,203.5488854633447,283687476,2902053,0,0,32768,8,0,3150816
2,Yes,1,8,34,10929,12902539264,0,3,0,198.68734877758448,271020735,2912120,0,0,32768,8,0,3151081
3,No,1,7,28,11945,12902539264,0,3,0,181.97967967833807,271346845,2911669,0,0,32768,8,0,3150913
4,Yes,1,8,21,10959,12902539264,0,3,0,198.55668048580037,271586944,2911462,0,0,32768,8,0,3150856
5,No,1,7,85,11815,12902539264,0,3,0,186.84370460704605,275568976,2910859,0,0,32768,8,0,3153189
6,Yes,1,7,24,11342,12902539264,0,3,0,191.90591265990298,271694358,2911069,0,0,32768,8,0,3150902
7,Yes,1,8,25,11094,12902539264,0,3,0,196.5648789464189,272177449,2910765,0,0,32768,8,0,3150817
8,No,1,8,26,11401,12902539264,0,3,0,190.76632318090057,271462758,2911459,0,0,32768,8,0,3150885
9,Yes,1,7,22,11192,12902539264,0,3,0,193.56734912829683,270419018,2911222,0,0,32768,8,0,3150795
10,Yes,1,8,121,12267,12902539264,0,3,0,180.12958577371725,275813742,2909942,0,0,32768,8,0,3153252
