Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,9,12,89,32261,17197506560,0,11,0,650.0147641167168,2620078226,3321017,0,0,36864,9,0,4388171
2,No,5,13,106,27746,17197506560,0,7,0,559.4036485053907,1939030237,3428020,0,0,45056,11,0,4256033
3,Yes,7,10,69,34526,17197506560,0,9,0,637.342944025959,2749603644,3235958,0,0,45056,11,0,4335565
4,Yes,9,11,74,33768,17197506560,0,11,0,652.3579716207009,2752493466,3251488,0,0,45056,11,0,4353058
5,Yes,10,11,86,37344,17197506560,0,12,0,632.587025955589,2951833864,3262291,0,0,36864,9,0,4432859
6,Yes,11,12,71,35267,17197506560,0,13,0,680.8372050489291,3000151866,3266739,0,0,32768,8,0,4454813
7,No,8,12,124,30376,17197506560,0,10,0,621.1543736003161,2357378911,3383658,0,0,32768,8,0,4349514
8,No,6,12,57,28011,17197506560,0,8,0,601.5530548948176,2105148036,3377462,0,0,32768,8,0,4272105
9,Yes,8,11,72,33653,17197506560,0,10,0,574.8738141608704,2417275593,3362903,0,0,28672,7,0,4363887
10,Yes,10,13,73,32247,17197506560,0,12,0,576.3644204256375,2322103775,3394464,0,0,32768,8,0,4374311
11,Yes,9,13,84,32624,17197506560,0,11,0,621.9765526969427,2535197130,3334012,0,0,40960,10,0,4401068
12,Yes,10,13,56,32303,17197506560,0,12,0,631.0242688138742,2546759139,3372050,0,0,40960,10,0,4405217
13,Yes,7,11,67,30577,17197506560,0,9,0,595.791285742328,2276157067,3375727,0,0,40960,10,0,4313435
14,Yes,10,12,58,35039,17197506560,0,12,0,612.9693701430325,2683597200,3320139,0,0,40960,10,0,4398187
15,Yes,9,11,61,31495,17197506560,0,11,0,598.3191635116249,2354472528,3418933,0,0,40960,10,0,4386560
