Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,3,23,5404,2165121024,0,6,0,459.6347624513979,310098509,287480,0,0,36864,9,0,531062
2,Yes,2,3,181,5344,2165121024,0,4,0,434.5696536229171,289917207,300904,0,0,32768,8,0,529241
3,Yes,3,3,124,5350,2165121024,0,5,0,438.54275369366,292898629,300099,0,0,36864,9,0,530304
4,No,2,3,140,5086,2165121024,0,4,0,458.5218650403305,291120972,300266,0,0,32768,8,0,529563
5,No,2,3,119,5306,2165121024,0,4,0,439.9118385819348,291394202,301336,0,0,36864,9,0,529448
6,No,4,3,117,5261,2165121024,0,6,0,464.7893328261697,305270535,299354,0,0,40960,10,0,538242
7,Yes,4,3,25,5429,2165121024,0,6,0,450.8346597862145,305566198,301774,0,0,36864,9,0,538332
8,Yes,3,3,111,5545,2165121024,0,5,0,426.7299530855287,295404791,298896,0,0,36864,9,0,530760
9,Yes,4,3,38,5323,2165121024,0,6,0,443.19557293233083,294512646,299936,0,0,40960,10,0,531865
10,Yes,4,4,26,5380,2165121024,0,6,0,440.9889375,296132156,298143,0,0,36864,9,0,531082
