Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,9,91,13888,12902539264,0,6,0,221.2506860724836,383629874,2850369,0,0,40960,10,0,3159088
2,No,4,9,40,12085,12902539264,0,6,0,237.8920152368334,358885587,2864665,0,0,32768,8,0,3152761
3,No,4,8,30,12279,12902539264,0,6,0,235.08807171379675,360383306,2862834,0,0,32768,8,0,3152676
4,Yes,4,9,86,12904,12902539264,0,6,0,229.01823218301666,368936353,2860652,0,0,40960,10,0,3158118
5,Yes,4,11,33,14470,12902539264,0,6,0,201.08238522719415,363218866,2863578,0,0,36864,9,0,3155322
6,Yes,4,9,38,14578,12902539264,0,6,0,197.4578186560505,359382960,2865119,0,0,36864,9,0,3153695
7,Yes,4,11,62,13263,12902539264,0,6,0,218.99640748566256,362555139,2863725,0,0,40960,10,0,3154969
8,No,4,9,78,12169,12902539264,0,6,0,241.3469210526316,366634910,2863801,0,0,36864,9,0,3156146
9,Yes,4,9,59,16862,12902539264,0,6,0,170.42483783302677,358808814,2864003,0,0,36864,9,0,3152382
10,Yes,4,9,28,12828,12902539264,0,6,0,229.56845494968405,367642343,2862283,0,0,40960,10,0,3156504
