Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,3,5,12,6409,4312604672,0,5,0,315.84683947532795,252623011,842315,0,0,40960,10,0,1053267
2,Yes,2,4,16,5903,4312604672,0,4,0,326.27749381251056,240376509,852912,0,0,36864,9,0,1052985
3,Yes,2,4,49,6390,4312604672,0,4,0,301.9120463513937,240788933,852790,0,0,36864,9,0,1053372
4,No,2,5,17,6044,4312604672,0,4,0,319.8661129326047,241246574,852128,0,0,32768,8,0,1053085
5,No,2,4,14,6116,4312604672,0,4,0,314.8207997382199,240310733,852535,0,0,36864,9,0,1053084
6,Yes,2,5,69,6486,4312604672,0,4,0,297.51919271717327,240815378,852201,0,0,32768,8,0,1053063
7,Yes,2,5,27,6692,4312604672,0,4,0,289.1749101241214,241501720,851879,0,0,32768,8,0,1053367
8,Yes,2,7,44,6678,4312604672,0,4,0,289.9759856093539,241591367,851606,0,0,36864,9,0,1053617
9,No,2,4,31,6148,4312604672,0,4,0,313.5705846354167,240609851,851429,0,0,36864,9,0,1053114
10,Yes,2,4,15,6324,4312604672,0,4,0,306.0669835443038,241580559,850936,0,0,36864,9,0,1053005
