Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,6,3,109,21359,2165121024,0,8,0,891.9808083910845,2380930306,11240,0,0,2376187904,580124,0,591364
2,No,5,3,538,20155,2165121024,0,7,0,905.4344624851132,2280576975,11898,0,0,2276024320,555670,0,567568
3,No,7,2,152,20208,2165121024,0,9,0,936.3274215579531,2364716497,11820,0,0,2360000512,576172,0,587992
4,Yes,6,3,135,20749,2165121024,0,8,0,915.7158149040779,2374467575,11818,0,0,2369732608,578548,0,590366
5,Yes,10,2,765,21869,2165121024,0,12,0,889.3322866419719,2430666073,11172,0,0,2425827328,592243,0,603415
6,Yes,6,2,144,20230,2165121024,0,8,0,930.4940518093732,2352541748,11567,0,0,2347851776,573206,0,584773
7,Yes,8,2,597,21592,2165121024,0,10,0,916.0274275127373,2471916506,11752,0,0,2466992128,602293,0,614045
8,Yes,7,2,912,21554,2165121024,0,9,0,903.2598489235338,2433169545,12087,0,0,2428317696,592851,0,604938
9,No,5,2,146,19381,2165121024,0,7,0,933.9690303937251,2262210794,11808,0,0,2257694720,551195,0,563003
10,Yes,6,3,769,21189,2165121024,0,8,0,909.3690931747379,2408024239,11621,0,0,2403225600,586725,0,598346
11,Yes,6,2,183,21052,2165121024,0,8,0,914.8910320190024,2407094566,11380,0,0,2402299904,586499,0,597879
12,Yes,6,3,465,21421,2165121024,0,8,0,899.1787920440751,2407113959,11258,0,0,2402320384,586504,0,597762
13,Yes,8,2,155,21425,2165121024,0,10,0,935.4295521635624,2504750898,11565,0,0,2499764224,610294,0,621859
14,Yes,8,2,361,22370,2165121024,0,10,0,902.949643776824,2524434690,11221,0,0,2519412736,615091,0,626312
15,Yes,8,2,829,22301,2165121024,0,10,0,905.5168292748554,2523802458,12565,0,0,2518769664,614934,0,627499
