Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,3,46,9430,4312604672,0,6,0,907.0457647183621,1068627643,798822,0,0,1059368960,258635,0,1057457
2,Yes,4,3,62,9142,4312604672,0,6,0,904.7628869679396,1033366093,805208,0,0,1024118784,250029,0,1055237
3,No,4,5,73,8903,4312604672,0,6,0,904.0575931670038,1005325648,813659,0,0,996057088,243178,0,1056837
4,No,4,4,35,8899,4312604672,0,6,0,899.775329960652,1000225285,812848,0,0,990973952,241937,0,1054785
5,Yes,4,3,90,8987,4312604672,0,6,0,902.580250222618,1013385211,813126,0,0,1004105728,245143,0,1058269
6,No,4,4,50,8892,4312604672,0,6,0,903.625306030603,1003715305,812572,0,0,994459648,242788,0,1055360
7,Yes,4,3,51,8909,4312604672,0,6,0,902.8790532225465,1004917696,813475,0,0,995651584,243079,0,1056554
8,Yes,4,4,89,8957,4312604672,0,6,0,901.3874687814141,1008552841,812452,0,0,999288832,243967,0,1056419
9,Yes,4,3,115,8993,4312604672,0,6,0,899.3902576195774,1010477392,811515,0,0,1001218048,244438,0,1055953
10,Yes,4,4,50,9117,4312604672,0,6,0,904.0535147591353,1029617550,810956,0,0,1020325888,249103,0,1060059
