Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,7,38,20195,12902539264,0,6,0,509.97121339409546,1286699947,2848782,0,0,1258602496,307276,0,3156058
2,Yes,4,8,93,25170,12902539264,0,6,0,389.6077520069947,1225201372,2863359,0,0,1197092864,292259,0,3155618
3,No,5,8,186,18641,12902539264,0,7,0,536.2698051843504,1248826974,2863233,0,0,1220673536,298016,0,3161249
4,No,4,9,52,19062,12902539264,0,6,0,517.8898550359523,1233207016,2864131,0,0,1205075968,294208,0,3158339
5,Yes,4,8,240,11835,12902539264,0,6,0,834.0486872410586,1232824318,2864473,0,0,1204690944,294114,0,3158587
6,Yes,4,8,105,32076,12902539264,0,6,0,302.01345665460894,1210408531,2865414,0,0,1182310400,288650,0,3154064
7,Yes,4,9,86,14118,12902539264,0,6,0,694.3007045148487,1224273670,2864705,0,0,1196154880,292030,0,3156735
8,Yes,4,8,110,16985,12902539264,0,6,0,567.8975206455793,1204937116,2865327,0,0,1176850432,287317,0,3152644
9,No,4,8,115,19973,12902539264,0,6,0,494.48926902078637,1233847528,2863251,0,0,1205723136,294366,0,3157617
10,Yes,4,10,105,14929,12902539264,0,6,0,650.9204064615591,1213672939,2864238,0,0,1185579008,289448,0,3153686
11,Yes,4,7,181,16680,12902539264,0,6,0,610.8763884124033,1272930343,2850986,0,0,1244839936,303916,0,3154902
12,Yes,4,8,90,33385,12902539264,0,6,0,297.86564832069985,1242520308,2864730,0,0,1214365696,296476,0,3161206
13,Yes,4,8,93,25930,12902539264,0,6,0,376.8629652033022,1220917813,2865752,0,0,1192796160,291210,0,3156962
14,Yes,4,8,69,17128,12902539264,0,6,0,562.7648981308411,1204104472,2864923,0,0,1176023040,287115,0,3152038
15,Yes,4,8,85,16812,12902539264,0,6,0,577.9396762675553,1213749880,2865491,0,0,1185644544,289464,0,3154955
16,Yes,4,8,147,18989,12902539264,0,6,0,515.7778818818819,1223535087,2863349,0,0,1195429888,291853,0,3155202
17,Yes,4,8,81,18219,12902539264,0,6,0,540.593265169403,1230380584,2863811,0,0,1202257920,293520,0,3157331
18,Yes,4,14,69,18214,12902539264,0,6,0,532.8597186813187,1212043606,2862409,0,0,1183969280,289055,0,3151464
19,Yes,4,7,95,17032,12902539264,0,6,0,577.7278895741557,1229264755,2863406,0,0,1201147904,293249,0,3156655
20,Yes,4,9,140,19467,12902539264,0,6,0,505.57878959810876,1229481601,2863788,0,0,1201360896,293301,0,3157089
