Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,3,35,7795,4312604672,0,4,0,899.9741950718686,876362508,841583,0,0,867094528,211693,0,1053276
2,No,2,4,33,7437,4312604672,0,4,0,897.7011467778825,833864220,851919,0,0,824586240,201315,0,1053234
3,Yes,2,3,87,7519,4312604672,0,4,0,892.0684693986162,837885969,852356,0,0,828596224,202294,0,1054650
4,Yes,2,4,26,7447,4312604672,0,4,0,898.5368641676744,835763877,851408,0,0,826486784,201779,0,1053187
5,No,2,3,35,7432,4312604672,0,4,0,898.3749005249697,834041034,851957,0,0,824762368,201358,0,1053315
6,Yes,2,4,72,7462,4312604672,0,4,0,894.9487948511666,834103656,852075,0,0,824823808,201373,0,1053448
7,No,2,4,39,7446,4312604672,0,4,0,897.6215458210158,834800085,851936,0,0,825520128,201543,0,1053479
8,Yes,2,4,36,7467,4312604672,0,4,0,897.7284770199652,837256095,851226,0,0,827977728,202143,0,1053369
9,Yes,2,3,36,7458,4312604672,0,4,0,897.988523138833,836600697,851364,0,0,827322368,201983,0,1053347
10,Yes,2,3,47,7493,4312604672,0,4,0,895.9272160213618,838599498,850925,0,0,829321216,202471,0,1053396
