Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,8,95,20448,12902539264,0,4,0,407.75429001956945,1041599853,2903392,0,0,1013489664,247434,0,3150826
2,Yes,2,8,37,24660,12902539264,0,4,0,327.09369365568716,1007726859,2911302,0,0,979611648,239163,0,3150465
3,Yes,2,7,37,14982,12902539264,0,4,0,537.0192160267112,1005020487,2912010,0,0,976904192,238502,0,3150512
4,Yes,2,7,89,28656,12902539264,0,4,0,283.394594436106,1014659109,2910456,0,0,986537984,240854,0,3151310
5,Yes,2,7,45,29097,12902539264,0,4,0,277.12146167067726,1007470557,2911552,0,0,979353600,239100,0,3150652
6,Yes,2,8,100,28105,12902539264,0,4,0,288.7664573442005,1013971536,2910667,0,0,985849856,240686,0,3151353
7,Yes,4,8,23,33497,12902539264,0,6,0,246.56331762668339,1031932458,2911320,0,0,1003769856,245061,0,3156381
8,Yes,2,8,72,31308,12902539264,0,4,0,258.0509750798722,1009412082,2911133,0,0,981295104,239574,0,3150707
9,Yes,4,7,35,25032,12902539264,0,6,0,331.3364162237762,1036249317,2910347,0,0,1008087040,246115,0,3156462
10,Yes,2,8,50,27201,12902539264,0,4,0,298.52306314124957,1014504849,2910188,0,0,986386432,240817,0,3151005
11,Yes,4,7,9,24225,12902539264,0,6,0,396.25494062267734,1199350359,2867925,0,0,1171251200,285950,0,3153875
12,Yes,2,9,33,24023,12902539264,0,4,0,336.8315019571916,1010871603,2910510,0,0,982757376,239931,0,3150441
13,Yes,3,8,68,12478,12902539264,0,5,0,647.7286537289494,1009434655,2912269,0,0,981307392,239577,0,3151846
14,Yes,2,8,56,26421,12902539264,0,4,0,304.35528080869267,1004654646,2912401,0,0,976535552,238412,0,3150813
15,Yes,2,9,48,17510,12902539264,0,4,0,460.2143086680761,1006563969,2911596,0,0,978448384,238879,0,3150475
