Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,5,7,45,62460,12902539264,0,7,0,526.6680711575104,4111287695,2286705,0,0,4082733056,996761,254196,3283466
2,Yes,4,7,46,58732,12902539264,0,6,0,539.0059599829714,3956428215,2301849,0,0,3928039424,958994,69664,3260843
3,Yes,4,8,52,57790,12902539264,0,6,0,517.6070593610467,3738333978,2348876,0,0,3709947904,905749,95816,3254625
4,No,5,7,40,60437,12902539264,0,7,0,546.0829049147774,4124761307,2280797,0,0,4096233472,1000057,116832,3280854
5,No,4,7,68,60728,12902539264,0,6,0,552.0742664975874,4190100282,2254260,0,0,4161683456,1016036,103559,3270296
6,Yes,4,7,65,58583,12902539264,0,6,0,532.8224694072658,3901113711,2316809,0,0,3872698368,945483,123317,3262292
7,Yes,5,7,45,63374,12902539264,0,7,0,541.2836432843594,4287227642,2243548,0,0,4258717696,1039726,269530,3283274
8,Yes,4,7,55,58702,12902539264,0,6,0,538.6667826561036,3951918441,2303731,0,0,3923521536,957891,88440,3261622
9,Yes,4,7,87,58733,12902539264,0,6,0,515.0930366788134,3780956799,2346905,0,0,3752505344,916139,174590,3263044
10,No,4,7,70,59603,12902539264,0,6,0,508.1267432713605,3785077764,2342406,0,0,3756658688,917153,206975,3259559
