Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,3,71,17719,4312604672,0,4,0,487.57485798148565,1079522165,800015,0,0,1070231552,261287,8211,1061302
2,No,2,3,39,17385,4312604672,0,4,0,469.22172408238407,1019289143,814305,0,0,1009987584,246579,4639,1060884
3,Yes,2,4,41,17177,4312604672,0,4,0,474.0688732312351,1017435737,813571,0,0,1008144384,246129,1329,1059700
4,No,2,3,25,17328,4312604672,0,4,0,472.9749259451659,1024073966,811976,0,0,1014784000,247750,4783,1059726
5,Yes,2,3,54,17198,4312604672,0,4,0,470.3546347193952,1010756135,814673,0,0,1001467904,244499,1568,1059172
6,Yes,2,3,17,17546,4312604672,0,4,0,464.8496626574702,1019144846,812408,0,0,1009860608,246548,5364,1058956
7,Yes,2,3,16,17166,4312604672,0,4,0,471.87551779991844,1012137581,813583,0,0,1002856448,244838,3114,1058421
8,No,2,4,22,17206,4312604672,0,4,0,474.84106545750495,1020814643,812805,0,0,1011523584,246954,4682,1059759
9,Yes,2,4,58,17606,4312604672,0,4,0,467.080474491535,1027481456,811194,0,0,1018191872,248582,1440,1059776
10,Yes,2,2,50,17476,4312604672,0,4,0,470.98965457250773,1028546795,812373,0,0,1019244544,248839,3527,1061212
