Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,1,2,19,7497,1091379200,0,3,0,845.0930956637758,791534262,73840,0,0,789327872,192707,831,266547
2,Yes,1,2,17,7290,1091379200,0,3,0,832.7985192096596,758467119,81913,0,0,756252672,184632,680,266545
3,No,1,2,16,7336,1091379200,0,3,0,827.4632866103082,758364636,81926,0,0,756150272,184607,613,266533
4,Yes,2,2,9,7404,1091379200,0,4,0,828.3629138070792,766230428,80838,0,0,764010496,186526,5962,267364
5,Yes,1,2,15,7308,1091379200,0,3,0,831.1994251300301,758880543,81793,0,0,756666368,184733,499,266526
6,Yes,1,1,17,7308,1091379200,0,3,0,833.6321675106062,761206449,81219,0,0,758992896,185301,626,266520
7,No,1,2,18,7333,1091379200,0,3,0,834.13416996317,764167368,80522,0,0,761954304,186024,754,266546
8,Yes,1,1,17,7324,1091379200,0,3,0,835.7075668441895,764773482,80380,0,0,762560512,186172,667,266552
9,No,1,2,17,7362,1091379200,0,3,0,835.0581891304348,768041202,79572,0,0,765829120,186970,590,266542
10,Yes,1,1,16,7330,1091379200,0,3,0,834.25889916769,764073102,80536,0,0,761860096,186001,581,266537
