Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,5,58,26848,8607571968,0,4,0,356.11348478187983,1194681926,1825728,0,0,1175953408,287098,1635,2112826
2,Yes,2,6,59,25553,8607571968,0,4,0,361.1321802168552,1153018118,1838040,0,0,1134260224,276919,8324,2114959
3,Yes,2,4,26,26220,8607571968,0,4,0,347.41103936527315,1138253618,1838684,0,0,1119518720,273320,2133,2112004
4,Yes,2,5,149,26140,8607571968,0,4,0,351.2126735794911,1147155545,1839179,0,0,1128398848,275488,4913,2114667
5,No,2,6,69,25491,8607571968,0,4,0,360.33428950362963,1147677563,1838357,0,0,1128927232,275617,3516,2113974
6,Yes,2,6,39,26021,8607571968,0,4,0,353.8920794926004,1150600448,1837082,0,0,1131855872,276332,2167,2113414
7,No,2,6,27,25358,8607571968,0,4,0,361.782308299148,1146275777,1837643,0,0,1127534592,275277,7864,2112920
8,No,2,6,63,25333,8607571968,0,4,0,363.2909562127374,1149921398,1838240,0,0,1131167744,276164,3101,2114404
9,Yes,2,6,29,24907,8607571968,0,4,0,370.3491522428818,1152545672,1837530,0,0,1133793280,276805,3977,2114335
10,Yes,2,5,28,25828,8607571968,0,4,0,355.17063702900515,1146234062,1837112,0,0,1127497728,275268,2640,2112380
