Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,3,9,15812,4312604672,0,4,0,442.10016471630087,873432830,842104,0,0,864165888,210978,4978,1053082
2,Yes,1,3,13,15175,4312604672,0,3,0,437.4582177695755,829427178,852764,0,0,820150272,200232,397,1052996
3,Yes,1,3,15,14598,4312604672,0,3,0,453.74267680712575,827584464,853218,0,0,818307072,199782,423,1053000
4,No,1,4,14,14833,4312604672,0,3,0,448.36768332321805,830893215,852409,0,0,821616640,200590,371,1052999
5,Yes,1,3,15,15089,4312604672,0,3,0,441.36786901763224,832097127,852113,0,0,822820864,200884,423,1052997
6,Yes,1,3,60,14533,4312604672,0,3,0,459.88962257398487,835062195,851877,0,0,825782272,201607,4221,1053484
7,Yes,1,4,14,14421,4312604672,0,3,0,461.84434098633557,832088901,852111,0,0,822812672,200882,373,1052993
8,No,1,3,21,14908,4312604672,0,3,0,448.0112579671251,834488643,851533,0,0,825212928,201468,998,1053001
9,No,1,3,30,14837,4312604672,0,3,0,449.4267218551975,833137167,851849,0,0,823861248,201138,420,1052987
10,Yes,1,2,15,14645,4312604672,0,3,0,457.1168569282251,836482935,851049,0,0,827207680,201955,492,1053004
