Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,4,3,51,34462,4312604672,0,6,0,857.0213074088047,3691299744,246906,0,0,3681886208,898898,42065,1145804
2,Yes,4,4,66,36477,4312604672,0,6,0,849.8605331066817,3874407993,209523,0,0,3864973312,943597,150386,1153120
3,Yes,2,3,92,30126,4312604672,0,4,0,845.9840108886897,3185234687,298345,0,0,3176345600,775475,24721,1073820
4,Yes,4,3,50,31371,4312604672,0,6,0,817.2547462382046,3204243450,347484,0,0,3194875904,779999,47166,1127483
5,Yes,4,4,49,34739,4312604672,0,6,0,829.2666032532029,3600359523,265181,0,0,3590959104,876699,133515,1141880
6,Yes,3,3,76,32363,4312604672,0,5,0,841.8642704573547,3405128590,303992,0,0,3395760128,829043,32134,1133035
7,Yes,2,6,48,29057,4312604672,0,4,0,826.8573424666965,3002416724,342902,0,0,2993483776,730831,19548,1073733
8,No,4,4,51,33145,4312604672,0,6,0,832.3270631544009,3447806490,304036,0,0,3438354432,839442,66507,1143478
9,Yes,4,3,65,32962,4312604672,0,6,0,793.9259909584636,3270663432,346210,0,0,3261177856,796186,165982,1142396
10,No,4,3,75,33671,4312604672,0,6,0,801.9438571937745,3374768313,319619,0,0,3365318656,821611,174820,1141230
