Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,4,32,16491,4312604672,0,4,0,523.7284522350943,1079126516,799830,0,0,1069838336,261191,7613,1061021
2,No,2,3,32,16093,4312604672,0,4,0,507.20169794903666,1019897057,813907,0,0,1010597888,246728,3008,1060635
3,Yes,2,3,21,16653,4312604672,0,4,0,491.7934164564565,1023332690,812148,0,0,1014042624,247569,8844,1059717
4,Yes,2,3,21,15801,4312604672,0,4,0,517.0261187492088,1020784970,813156,0,0,1011490816,246946,3332,1060102
5,No,2,3,47,16172,4312604672,0,4,0,505.5777193394768,1021623410,813292,0,0,1012326400,247150,4140,1060442
6,Yes,2,3,18,17018,4312604672,0,4,0,478.645313429327,1017806393,813259,0,0,1008517120,246220,3156,1059479
7,No,2,2,31,16073,4312604672,0,4,0,509.48378968328046,1023276890,811876,0,0,1013989376,247556,2678,1059432
8,Yes,2,4,36,17269,4312604672,0,4,0,472.43170344627856,1019354312,812882,0,0,1010065408,246598,5879,1059480
9,Yes,2,3,19,16841,4312604672,0,4,0,491.89837937997385,1035110756,809366,0,0,1025822720,250445,3001,1059811
10,Yes,2,4,17,15887,4312604672,0,4,0,513.9726938235849,1020216179,811517,0,0,1010937856,246811,1843,1058328
