Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,1,8,19,33233,12902539264,0,3,0,250.3745136493604,1039624320,2903226,0,0,1011519488,246953,782,3150179
2,Yes,1,8,34,33821,12902539264,0,3,0,237.59889226037322,1004029086,2912208,0,0,975912960,238260,1745,3150468
3,Yes,2,6,11,32241,12902539264,0,4,0,249.86587299519158,1006590944,2911858,0,0,978472960,238885,6929,3150743
4,Yes,1,7,21,32549,12902539264,0,3,0,246.89125192059493,1004079558,2911888,0,0,975966208,238273,1060,3150161
5,No,1,6,48,32615,12902539264,0,3,0,247.09904701156123,1006994271,2911529,0,0,978878464,238984,2974,3150513
6,No,1,6,43,32669,12902539264,0,3,0,246.22840841318924,1005107637,2911663,0,0,976994304,238524,1083,3150187
7,Yes,1,7,24,33301,12902539264,0,3,0,241.8894686129633,1006471164,2911318,0,0,978358272,238857,1222,3150175
8,Yes,1,7,32,32466,12902539264,0,3,0,248.56264333466837,1008299523,2911093,0,0,980185088,239303,1808,3150396
9,No,1,6,19,32705,12902539264,0,3,0,246.39610777087984,1006900959,2911193,0,0,978788352,238962,703,3150155
10,Yes,1,7,51,33805,12902539264,0,3,0,239.3210547369667,1010859294,2910512,0,0,982745088,239928,3197,3150440
