Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,10,8,170,39846,12902539264,0,12,0,916.1913913349064,4562191515,2342037,0,0,4532260864,1106509,0,3448546
2,Yes,2,8,92,27686,12902539264,0,4,0,916.6753164245972,3171255068,2410382,0,0,3143421952,767437,0,3177819
3,Yes,4,7,160,35332,12902539264,0,6,0,912.9270381882519,4030931043,2293053,0,0,4002476032,977167,0,3270220
4,Yes,2,7,107,28619,12902539264,0,4,0,917.7043992730323,3281957426,2382684,0,0,3254157312,794472,0,3177156
5,No,7,8,160,36280,12902539264,0,9,0,915.6630955006616,4151403987,2444445,0,0,4121354240,1006190,0,3450635
6,Yes,5,8,147,32655,12902539264,0,7,0,914.0280557478483,3729821806,2402627,0,0,3700969472,903557,0,3306184
7,No,8,8,171,37353,12902539264,0,10,0,916.4172555362163,4277737787,2396149,0,0,4247875584,1037079,0,3433228
8,Yes,5,8,145,33156,12902539264,0,7,0,913.3647532279474,3784314419,2376605,0,0,3755589632,916892,0,3293497
9,No,6,6,159,37546,12902539264,0,8,0,910.1924816196058,4270865758,2344864,0,0,4241477632,1035517,0,3380381
10,Yes,5,7,134,33350,12902539264,0,7,0,916.0083337432145,3817595798,2371816,0,0,3788849152,925012,0,3296828
