Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,3,2,155,11300,1091379200,0,5,0,855.9170621348911,1208556487,10729,0,0,1206104064,294459,0,305188
2,Yes,3,2,1286,12088,1091379200,0,5,0,822.0536395829886,1241705152,11258,0,0,1239183360,302535,0,313793
3,No,3,2,302,10465,1091379200,0,5,0,922.5874062888273,1206416620,11910,0,0,1203957760,293935,0,305845
4,Yes,3,2,735,10942,1091379200,0,5,0,887.9336248628885,1214036848,11354,0,0,1211568128,295793,0,307147
5,No,3,2,230,10303,1091379200,0,5,0,927.5931827977867,1194179788,11598,0,0,1191747584,290954,0,302552
6,Yes,2,3,536,10224,1091379200,0,4,0,904.1412754133646,1154941139,10197,0,0,1152598016,281396,0,291593
7,No,3,2,270,10320,1091379200,0,5,0,922.9247311494477,1190129788,11670,0,0,1187704832,289967,0,301637
8,Yes,3,2,93,10320,1091379200,0,5,0,940.8945229695678,1213306327,11353,0,0,1210839040,295615,0,306968
9,Yes,3,2,736,11370,1091379200,0,5,0,847.9495376495425,1204723909,11703,0,0,1202270208,293523,0,305226
10,Yes,3,3,716,11745,1091379200,0,5,0,868.5584016351559,1274614210,10244,0,0,1272037376,310556,0,320800
11,Yes,3,2,405,10565,1091379200,0,5,0,913.9794467480829,1206583228,12182,0,0,1204121600,293975,0,306157
12,Yes,3,1,368,10832,1091379200,0,5,0,894.597422952636,1210960702,11104,0,0,1208500224,295044,0,306148
13,Yes,3,2,871,11713,1091379200,0,5,0,869.2598384424899,1272275362,10748,0,0,1269698560,309985,0,320733
