Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,No,2,10,133,13303,17197506560,0,4,0,871.2846123523659,1447535936,3877546,0,0,1409884160,344210,0,4221756
2,Yes,2,11,119,12958,17197506560,0,4,0,869.1062083880436,1406327402,3893020,0,0,1368616960,334135,0,4227155
3,Yes,2,9,113,12800,17197506560,0,4,0,868.685378781956,1388706977,3891891,0,0,1351041024,329844,0,4221735
4,Yes,2,8,153,13407,17197506560,0,4,0,841.0200307485634,1408391066,3893860,0,0,1370669056,334636,0,4228496
5,Yes,2,9,4828,17907,17197506560,0,4,0,640.2799472566768,1432253954,3882708,0,0,1394585600,340475,0,4223183
6,No,2,9,168,13334,17197506560,0,4,0,853.3836781988743,1421204987,3884877,0,0,1383538688,337778,0,4222655
7,Yes,2,10,131,12858,17197506560,0,4,0,869.2070186799501,1395734114,3891100,0,0,1358061568,331558,0,4222658
8,Yes,2,9,49,12695,17197506560,0,4,0,868.5434154185717,1377080363,3892805,0,0,1339428864,327009,0,4219814
9,Yes,2,10,117,12976,17197506560,0,4,0,869.315953108129,1408731473,3887907,0,0,1371062272,334732,0,4222639
10,No,2,9,103,13358,17197506560,0,4,0,828.9570436736834,1383006089,3892755,0,0,1345343488,328453,0,4221208
