Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,1,2,45,6802,1091379200,0,3,0,940.6690600000001,799356369,72915,0,0,797143040,194615,0,267530
2,Yes,1,3,32,6469,1091379200,0,3,0,940.479030003093,759929844,82102,0,0,757710848,184988,0,267090
3,Yes,1,3,42,6499,1091379200,0,3,0,938.870421182266,762150450,81684,0,0,759930880,185530,0,267214
4,No,1,2,32,6523,1091379200,0,3,0,940.2330697745745,766195149,80567,0,0,763977728,186518,0,267085
5,Yes,1,3,45,6503,1091379200,0,3,0,940.4778326153846,763925907,81509,0,0,761704448,185963,0,267472
6,No,1,2,33,6526,1091379200,0,3,0,939.7597240956469,766161723,80501,0,0,763944960,186510,0,267011
7,Yes,1,3,20,6508,1091379200,0,3,0,941.5881494235203,765416532,80694,0,0,763199488,186328,0,267022
8,Yes,1,3,20,6510,1091379200,0,3,0,940.3218675272784,764621967,80873,0,0,762404864,186134,0,267007
9,Yes,1,2,33,6547,1091379200,0,3,0,939.02587868602,768028215,79953,0,0,765812736,186966,0,266919
10,No,1,2,31,6530,1091379200,0,3,0,940.5300526960784,767260191,80345,0,0,765042688,186778,0,267123
