Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,1,17,136,8696,2165121024,0,3,0,932.0464274686025,1010941536,286706,0,0,1006395392,245702,0,532408
2,Yes,1,18,178,8287,2165121024,0,3,0,930.279938081993,961348269,299871,0,0,956780544,233589,0,533460
3,Yes,1,24,142,8218,2165121024,0,3,0,930.5219438613619,952874769,300923,0,0,948314112,231522,0,532445
4,Yes,1,18,176,8238,2165121024,0,3,0,928.8317411192214,954162282,301252,0,0,949596160,231835,0,533087
5,No,1,18,161,8503,2165121024,0,3,0,927.543040188568,983563005,293919,0,0,979005440,239015,0,532934
6,Yes,2,16,5063,13662,2165121024,0,4,0,588.4261157848455,1003495489,292083,0,0,997081088,243428,0,536087
7,Yes,2,17,61,8977,2165121024,0,4,0,930.8426928571429,1042331458,292447,0,0,1031905280,251930,0,546018
8,No,2,18,71,8404,2165121024,0,4,0,931.4801507274028,976211710,299181,0,0,965029888,235603,0,536642
9,Yes,1,18,252,8388,2165121024,0,3,0,921.5318518518518,963940368,299234,0,0,959373312,234222,0,533456
10,No,2,21,11,8595,2165121024,0,4,0,930.5236631677163,997076378,293559,0,0,991801344,242139,0,536116
