Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,1,19,38,8606,8607571968,0,3,0,889.6547292418772,954720813,1873583,0,0,936030208,228523,0,2102106
2,Yes,1,19,34,8273,8607571968,0,3,0,888.6902321298763,916693815,1882777,0,0,897994752,219237,0,2102014
3,Yes,1,20,20,8263,8607571968,0,3,0,888.293556229528,915063141,1883079,0,0,896364544,218839,0,2101918
4,Yes,2,19,21,8796,8607571968,0,4,0,858.7046781360373,941894012,1882828,0,0,923144192,225377,0,2108234
5,Yes,1,19,23,8527,8607571968,0,3,0,861.3443168782322,915827349,1883175,0,0,897126400,219025,0,2102200
6,No,1,23,34,8380,8607571968,0,3,0,879.8755888476726,918927705,1882467,0,0,900227072,219782,0,2102249
7,Yes,1,20,47,8584,8607571968,0,3,0,859.1844474544605,919544619,1882157,0,0,900845568,219933,0,2102090
8,Yes,1,19,21,8284,8607571968,0,3,0,888.9387683000606,918172533,1882463,0,0,899473408,219598,0,2102061
9,No,1,19,22,8309,8607571968,0,3,0,888.4426952955367,920436411,1881837,0,0,901738496,220151,0,2101988
10,No,1,19,22,8328,8607571968,0,3,0,888.6703141172223,922782873,1881267,0,0,904085504,220724,0,2101991
