Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,5,40,83,34536,8607571968,0,7,0,795.4193738404454,3429635904,1289504,0,0,3329392640,812840,0,2123884
2,No,7,41,109,32996,8607571968,0,9,0,803.9303168563192,3311477961,1365796,0,0,3014832128,736043,0,2173021
3,No,8,39,66,33485,8607571968,0,10,0,797.2935485259821,3333072489,1363442,0,0,3024261120,738345,0,2176351
4,Yes,8,41,46,36387,8607571968,0,10,0,813.445207725747,3695472426,1283210,0,0,3354972160,819085,0,2184985
5,No,5,40,55,32533,8607571968,0,7,0,809.0392232173083,3285801499,1321781,0,0,3196010496,780276,0,2120505
6,Yes,7,40,107,35840,8607571968,0,9,0,814.5851620111732,3645056112,1295695,0,0,3301318656,805986,0,2184861
7,Yes,8,34,68,39658,8607571968,0,10,0,834.9473198061781,4135281561,1189673,0,0,3737264128,912418,0,2199671
8,Yes,7,34,87,39641,8607571968,0,9,0,828.506137601939,4101617836,1197491,0,0,3707572224,905169,0,2199456
9,Yes,7,34,103,38563,8607571968,0,9,0,834.9525336240234,4021023283,1207674,0,0,3663581184,894429,0,2189881
10,Yes,8,34,53,38386,8607571968,0,10,0,828.5030337922403,3971631030,1224706,0,0,3595157504,877724,0,2195092
11,Yes,8,42,90,35948,8607571968,0,10,0,805.3647455021445,3614465805,1301069,0,0,3285217280,802055,0,2183173
12,Yes,5,40,76,32644,8607571968,0,7,0,811.1972540792541,3305821973,1316714,0,0,3217522688,785528,0,2120474
13,Yes,7,42,73,35781,8607571968,0,9,0,815.6534275721201,3643617243,1287812,0,0,3336122368,814483,0,2176244
14,Yes,9,41,46,39003,8607571968,0,11,0,781.9595663466968,3808126038,1265752,0,0,3427442688,836778,0,2196596
15,Yes,7,42,74,36232,8607571968,0,9,0,797.7044684166897,3608403101,1306427,0,0,3259084800,795675,0,2186696
