Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,32,107,11354,4312604672,0,6,0,747.5337544603427,1057734736,798638,0,0,1043464192,254752,0,1054914
2,No,4,33,30,10830,4312604672,0,6,0,739.470606279522,997795607,812277,0,0,987144192,241002,0,1054275
3,No,4,32,52,10716,4312604672,0,6,0,745.6978629726694,995667086,812800,0,0,984027136,240241,0,1053759
4,Yes,4,35,65,10891,4312604672,0,6,0,735.2214163596168,997483052,813010,0,0,983465984,240104,0,1054779
5,Yes,4,33,59,10844,4312604672,0,6,0,737.5281109980575,996464641,812808,0,0,984547328,240368,0,1054585
6,Yes,4,33,77,11220,4312604672,0,6,0,717.8539848037901,1003616656,810459,0,0,993206272,242482,0,1053310
7,Yes,4,34,76,10851,4312604672,0,6,0,739.6392781732459,999872505,812057,0,0,987148288,241003,0,1054179
8,Yes,4,34,77,11001,4312604672,0,6,0,730.8499418254764,1001691504,812575,0,0,987652096,241126,0,1055902
9,No,4,33,52,10802,4312604672,0,6,0,741.2695708050887,997629091,812207,0,0,986750976,240906,0,1053653
10,Yes,4,33,54,10914,4312604672,0,6,0,735.8949442146861,1000696701,812383,0,0,985731072,240657,0,1054969
