Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,4,38,176,32653,17197506560,0,6,0,336.0590989422045,1369858529,3878856,0,0,1324646400,323400,0,4204327
2,Yes,4,40,99,33060,17197506560,0,6,0,317.38422701393097,1309790987,3891150,0,0,1269612544,309964,0,4202000
3,Yes,5,38,93,19489,17197506560,0,7,0,535.9682294997687,1302927318,3893157,0,0,1256280064,306709,0,4202269
4,Yes,4,44,92,36777,17197506560,0,6,0,285.2767083548852,1309671256,3891004,0,0,1268498432,309692,0,4201710
5,Yes,5,39,171,41070,17197506560,0,7,0,258.55597065633305,1325888818,3891118,0,0,1275101184,311304,0,4205885
6,Yes,4,39,143,29680,17197506560,0,6,0,357.69459815795693,1325090788,3891622,0,0,1285451776,313831,0,4206219
7,Yes,4,41,104,46840,17197506560,0,6,0,221.88038804247955,1297760125,3892744,0,0,1258622976,307281,0,4200462
8,Yes,4,39,110,27642,17197506560,0,6,0,384.47127254283953,1326357657,3887377,0,0,1284550656,313611,0,4202205
9,Yes,4,40,180,39063,17197506560,0,6,0,266.47091284627015,1299599394,3892568,0,0,1257562112,307022,0,4200974
10,Yes,6,40,40,44526,17197506560,0,8,0,236.3184717888774,1313895480,3891582,0,0,1266536448,309213,0,4203667
11,Yes,5,41,141,47552,17197506560,0,7,0,230.03876963229567,1365959062,3878619,0,0,1317990400,321775,0,4203197
12,Yes,4,38,94,49146,17197506560,0,6,0,210.93451299177323,1294609098,3894033,0,0,1254092800,306175,0,4200984
13,Yes,4,42,210,29797,17197506560,0,6,0,356.01584863048225,1323944037,3888979,0,0,1280880640,312715,0,4203352
14,Yes,4,39,144,44876,17197506560,0,6,0,235.569167071838,1320064433,3891839,0,0,1279545344,312389,0,4205149
15,Yes,4,38,120,49776,17197506560,0,6,0,209.32191113434396,1301194242,3893343,0,0,1261998080,308105,0,4201903
16,Yes,4,39,211,49262,17197506560,0,6,0,212.75621298986246,1308849974,3892596,0,0,1266470912,309197,0,4203049
17,Yes,5,38,143,39249,17197506560,0,7,0,272.06742985386757,1333292063,3892455,0,0,1284489216,313596,0,4209162
18,Yes,4,41,91,54476,17197506560,0,6,0,191.5501729402039,1303166798,3891793,0,0,1263738880,308530,0,4200837
19,Yes,4,41,93,27110,17197506560,0,6,0,386.01774487421034,1305926882,3891179,0,0,1266257920,309145,0,4201327
20,Yes,4,38,171,49372,17197506560,0,6,0,213.86581959703247,1318644633,3889143,0,0,1274621952,311187,0,4202132
