Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,2,38,10,7442,2165121024,0,4,0,890.8731172339276,824290712,328775,0,0,819728384,200129,0,528933
2,No,2,33,10,7146,2165121024,0,4,0,882.0387639533249,784030358,338331,0,0,779460608,190298,0,528654
3,No,2,31,21,7152,2165121024,0,4,0,882.555435472546,785372299,338048,0,0,780804096,190626,0,528685
4,No,2,31,9,7126,2165121024,0,4,0,883.6914942917548,783511536,338511,0,0,778940416,190171,0,528718
5,Yes,2,32,16,7168,2165121024,0,4,0,882.82525,787267765,337849,0,0,782696448,191088,0,528955
6,Yes,2,31,10,7159,2165121024,0,4,0,885.0541492704826,788370889,337343,0,0,783802368,191358,0,528725
7,Yes,2,31,11,7181,2165121024,0,4,0,881.3313913286713,787477573,337819,0,0,782905344,191139,0,528987
8,Yes,2,31,21,7182,2165121024,0,4,0,883.9598679904909,789937269,337303,0,0,785367040,191740,0,529054
9,Yes,2,32,12,7230,2165121024,0,4,0,878.3457527090858,790079233,336952,0,0,785485824,191769,0,529004
10,Yes,2,32,9,7204,2165121024,0,4,0,883.0866112660345,791474789,336543,0,0,786907136,192116,0,528674
