Experiment,Outlier,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Total-Transferred-Page-Count
1,Yes,3,39,57,49035,17197506560,0,5,0,184.21613127602254,1128019312,3934815,0,0,1090469888,266228,0,4201052
2,Yes,2,38,98,66176,17197506560,0,4,0,131.123543137077,1083818754,3944101,0,0,1046278144,255439,0,4199540
3,Yes,4,40,117,109648,17197506560,0,6,0,81.33212488139552,1114119033,3944300,0,0,1076244480,262755,0,4207833
4,Yes,2,38,38,79448,17197506560,0,4,0,109.70578073290517,1088754648,3942932,0,0,1051213824,256644,0,4199590
5,Yes,4,39,132,99756,17197506560,0,6,0,87.69929733144801,1092926444,3943917,0,0,1055178752,257612,0,4201686
6,Yes,2,40,118,40868,17197506560,0,4,0,212.8712028999706,1086175826,3943540,0,0,1048612864,256009,0,4199653
7,Yes,2,38,103,49637,17197506560,0,4,0,175.49609484062177,1087841493,3943274,0,0,1050300416,256421,0,4199697
8,Yes,2,41,91,39581,17197506560,0,4,0,220.23971269600403,1088322422,3942901,0,0,1050763264,256534,0,4199512
9,Yes,3,38,22,81741,17197506560,0,5,0,106.79007047476836,1090421257,3942572,0,0,1052880896,257051,0,4199626
10,Yes,2,38,46,75217,17197506560,0,4,0,116.22688804054324,1092015294,3942263,0,0,1054474240,257440,0,4199717
11,Yes,4,37,9,74080,17197506560,0,6,0,138.6873256891266,1283390797,3898072,0,0,1244868608,303923,0,4202677
12,Yes,2,38,128,50790,17197506560,0,4,0,171.94036144388397,1090577295,3942648,0,0,1053036544,257089,0,4199738
13,Yes,2,38,94,75019,17197506560,0,4,0,115.77255496725837,1084880385,3943956,0,0,1047339008,255698,0,4199654
14,Yes,2,38,100,37287,17197506560,0,4,0,232.68040527262477,1083176694,3944215,0,0,1045635072,255282,0,4199521
15,Yes,4,38,10,70281,17197506560,0,6,0,126.05021960907138,1106555787,3943328,0,0,1068974080,260980,0,4204339
16,Yes,2,38,94,75019,17197506560,0,4,0,115.77255496725837,1084880385,3943956,0,0,1047339008,255698,0,4199654
17,Yes,4,37,9,74080,17197506560,0,6,0,138.6873256891266,1283390797,3898072,0,0,1244868608,303923,0,4202677
18,Yes,4,38,10,70281,17197506560,0,6,0,126.05021960907138,1106555787,3943328,0,0,1068974080,260980,0,4204339
19,Yes,2,38,128,50790,17197506560,0,4,0,171.94036144388397,1090577295,3942648,0,0,1053036544,257089,0,4199738
20,Yes,2,38,100,37287,17197506560,0,4,0,232.68040527262477,1083176694,3944215,0,0,1045635072,255282,0,4199521
