Time,Second,Number of Sorts,State
12:33:19,1,343,
12:33:20,2,115339,
12:33:21,3,123050,
12:33:22,4,159555,
12:33:23,5,179900,
12:33:24,6,180166,
12:33:25,7,180003,
12:33:26,8,180246,
12:33:27,9,180343,
12:33:28,10,180257,
12:33:29,11,140475,
12:33:30,12,174302,
12:33:31,13,180057,
12:33:32,14,180008,
12:33:33,15,180332,
12:33:34,16,180254,
12:33:35,17,69028,
12:33:36,18,75402,
12:33:37,19,74698,
12:33:38,20,76629,
12:33:39,21,78772,
12:33:40,22,81124,
12:33:41,23,85132,
12:33:42,24,105667,
12:33:43,25,133980,
12:33:44,26,143557,
12:33:45,27,173604,
12:33:46,28,180440,
12:33:47,29,180272,
12:33:48,30,180549,
12:33:49,31,180293,
12:33:50,32,180186,
12:33:51,33,179958,
12:33:52,34,180020,
12:33:53,35,180105,
