Time,Second,Number of Sorts,State
13:02:53,1,281,
13:02:54,2,115268,
13:02:55,3,123278,
13:02:56,4,161226,
13:02:57,5,179645,
13:02:58,6,179719,
13:02:59,7,179846,
13:03:00,8,176707,
13:03:01,9,179926,
13:03:02,10,179934,
13:03:03,11,135678,
13:03:04,12,179865,
13:03:05,13,180589,
13:03:06,14,180429,
13:03:07,15,180146,
13:03:08,16,179384,START
13:03:09,17,166728,
13:03:10,18,172344,
13:03:11,19,170918,
13:03:12,20,170312,
13:03:13,21,170519,
13:03:14,22,170409,
13:03:15,23,170394,
13:03:16,24,170244,
13:03:17,25,170305,
13:03:18,26,169844,
13:03:19,27,169834,
13:03:20,28,169881,
13:03:21,29,170422,
13:03:22,30,169709,
13:03:23,31,169526,
13:03:24,32,169914,
13:03:25,33,169693,
13:03:26,34,169957,
13:03:27,35,169732,
13:03:28,36,169323,
13:03:29,37,167103,
13:03:30,38,166687,
13:03:31,39,166740,
13:03:32,40,166887,
13:03:33,41,166477,
13:03:34,42,167094,
13:03:35,43,167161,
13:03:36,44,166872,
13:03:37,45,166875,
13:03:38,46,164841,
13:03:39,47,149485,
13:03:40,48,142887,
13:03:41,49,142598,
13:03:42,50,144112,
13:03:43,51,144068,
13:03:44,52,144016,
13:03:45,53,144658,
13:03:46,54,144464,
13:03:47,55,144662,
13:03:48,56,143829,COMPLETE
13:03:49,57,134863,
13:03:50,58,170388,
13:03:51,59,179935,
13:03:52,60,179859,
13:03:53,61,179811,
13:03:54,62,179866,
13:03:55,63,179319,
13:03:56,64,179984,
13:03:57,65,180025,
13:03:58,66,180164,
13:03:59,67,180140,
13:04:00,68,174210,
13:04:01,69,179898,
13:04:02,70,180250,
13:04:03,71,179869,
13:04:04,72,179973,
13:04:05,73,179633,
13:04:06,74,179384,
13:04:07,75,177065,
